paper_no,first_author_surname,authors,year,title,journal,volume,issue,pages,doi_stableurl,abstract,used,excld_1,excld_2,excld_3,excld_4,excld_5,excld_6,excld_7,excld_8,comments
1000,Alberts,"A. C. Alberts, A. M. Perry, J. M. Lemm and J. A. Phillips",1997,Effects Of Incubation Temperature And Water Potential On Growth And Thermoregulatory Behavior Of Hatchling Cuban Rock Iguanas (Cyclura nubila),Copeia,1997,4,766-776,http://www.jstor.org/stable/1447294,"To examine the effects of incubation temperature and moisture levels on embryonic development and posthatching growth and behavior, we incubated a total of 123 eggs collected from 18 wild female Cuban rock iguanas at 28.0, 29.5, or 31.0 C on wet (-150 kPa), moist (-550 kPa), or dry (-1100 kPa) substrates. Although there was no effect of incubation temperature or water availability on egg survival, larger females exhibited higher infertility and greater mortality of initially viable eggs, suggesting that reproductive senescence may occur in this long-lived species, Incubation temperature, although it had little influence on size at hatching, significantly affected several measures of growth, including changes in body length, mass, and head dimensions. In general, hatchlings from higher incubation temperatures grew faster during their first year. However, by 16 months of age, growth rates no longer varied among hatchlings incubated at different temperatures. Incubation temperature had no detectable effect on thermal selection by hatchlings at 14 to 16 months of age, as there was no tendency for hatchlings incubated at higher temperatures to preferentially select higher basking temperatures. Moisture levels during incubation did not significantly affect size, growth, or thermoregulatory behavior of hatchlings. These results have important implications for understanding how environmental conditions experienced during embryonic development may affect future fitness and survivorship.",Y,N,N,N,N,N,N,N,N,NA
1001,Alloatti,G. Alloatti and L. Cedrini,1980,On The Reversal Of The Heart Hypodynamia By Means Of A Prolonged Cooling,Bollettino Della Societa Italiana Di Biologia Sperimentale,56,8,768-774,NA,"Lizard ventricles induced to hypodynamia by the high flow rate of the perfusing solution were submitted either to brief periods of cooling (from 20 to 25 degrees C), or to a prolonged hypothermic incubation (35 h at 4 degrees C) followed by a recovery at room (20 degrees C) or reduced (15 degrees C) temperature. Isometric rested state contractions as well as staircases and steady-state twitches at 20 or 4 min-1 were recorded. While a brief exposure to reduced temperature proved to increase the peak tension of the twitches, without altering the peculiar tension-frequency relation and the pattern of the staircases which characterize the hypodynamic condition, a transitory post-effect of the prolonged hypothermic incubation was noticed, that causes the reappearance of the contractility features which characterize the normal inotropic state. The results are discussed in the light of the double-component hypothesis for the twitch in lizard ventricular cells, and interpreted as evidences that a brief exposure to low temperatures enhances the transmembrane Ca++ influx during the AP, that causes an augmentation of the late, slow rising component of the twitch; while the prolonged hypothermic incubation would cause also an increase of the Ca++ content in a cellular store, and consequently a potentiation of the early, impulsive component of the twitch.",N,N,N,N,N,N,N,N,Y,Paper is unavailable
1002,Amiel,J. J. Amiel and R. Shine,2012,Hotter Nests Produce Smarter Young Lizards,Biology Letters,8,3,372-374,https://doi.org/10.1098/rsbl.2011.1161,"A hatchling reptile's sex, body size and shape, and locomotor performance can be influenced not only by its genes, but also by the temperature that it experiences during incubation. Can incubation temperature also affect a hatchling's cognitive skills? In the scincid lizard Bassiana duperreyi, higher incubation temperatures enhanced the resultant hatchling's learning performance. Hence, factors such as maternal nest-site selection and climate change affect not only the size, shape and athletic abilities of hatchling reptiles, but also their ability to learn novel tasks.",Y,N,N,N,N,N,N,N,N,NA
1003,Amiel,"J. J. Amiel, T. Lindstroem and R. Shine",2014,"Egg Incubation Effects Generate Positive Correlations Between Size, Speed And Learning Ability In Young Lizards",Animal Cognition,17,2,337-347,https://doi.org/10.1007/s10071-013-0665-4,"Previous studies have suggested that body size and locomotor performance are targets of Darwinian selection in reptiles. However, much of the variation in these traits may derive from phenotypically plastic responses to incubation temperature, rather than from underlying genetic variation. Intriguingly, incubation temperature may also influence cognitive traits such as learning ability. Therefore, we might expect correlations between a reptile's size, locomotor speed and learning ability either due to selection on all of these traits or due to environmental effects during egg incubation. In the present study, we incubated lizard eggs (Scincidae: Bassiana duperreyi) under 'hot' and 'cold' thermal regimes and then assessed differences in hatchling body size, running speed and learning ability. We measured learning ability using a Y-maze and a food reward. We found high correlations between size, speed and learning ability, using two different metrics to quantify learning (time to solution, and directness of route), and showed that environmental effects (incubation temperature) cause these correlations. If widespread, such correlations challenge any simple interpretation of fitness advantages due to body size or speed within a population; for example, survivors may be larger and faster than nonsurvivors because of differences in learning ability, not because of their size or speed.",Y,N,N,N,N,N,N,N,N,NA
1004,Andrewartha,"S. J. Andrewartha, N. J. Mitchell and P. B. Frappell",2010,Does Incubation Temperature Fluctuation Influence Hatchling Phenotypes In Reptiles? A Test Using Parthenogenetic Geckos,Physiological and Biochemical Zoology,83,4,597-607,http://www.jstor.org/stable/10.1086/652245 .,"Many lineages of parthenogenetic organisms have persisted through significant environmental change despite the constraints imposed by their fixed genotype and limited evolutionary potential. The ability of parthenogens to occur sympatrically with sexual relatives may in part be due to phenotypic plasticity in their responses to their environment, especially with respect to incubation temperature-a maternally selected trait. Here we measured the incubation temperatures selected by two lineages of triploid parthenogenic geckos in the Heteronotia binoei complex by allowing them to deposit clutches along a thermal gradient. The average nest temperature selected was 28.4 degrees C, with no significant differences between parthenogenic races or individual clones. To investigate the effect of nest-temperature variability on physiological and morphological traits, we incubated eggs from different races at one of four incubation regimes (32 degrees +/- 0 degrees, +/-3 degrees, +/-5 degrees, or +/-9 degrees C). Embryos incubated at constant 32 degrees C developed faster than embryos reared under increasing extremes of diel temperature fluctuation (+/-3 degrees, +/-5 degrees C), and incubation at 32 degrees +/- 9 degrees C was unsuccessful. Incubation regime had no effect on the body size, preferred substrate temperature, or mass-specific (V) over dotO(2) of hatchlings.. However, parthenogenic race had a significant effect on egg mass, tail length, snout-to-vent length, total length, and (V) over dotO(2) We conclude that developmental traits are strongly influenced by clonal genotypes in this parthenogenic complex but are well buffered against fluctuations in incubation temperature.",Partially,N,Y,N,N,N,N,N,N,"Hatching size means and SE not reported, VO2 inaccessible"
1005,Andrews,R. M. Andrews,2005,Incubation Temperature And Sex Ratio Of The Veiled Chameleon (Chamaeleo calyptratus),Journal of Herpetology,39,3,515-518,http://www.jstor.org/stable/4092942,"Eggs from five clutches of Chamaeleo calyptratus were incubated at 25, 28, and 30 degrees C during the period of sex determination. Sex ratios were slightly biased toward females at all temperatures but did not differ statistically from the expected 1:1 ratio of males and females. Egg survival was sufficiently high that sex-biased temperature-induced mortality cannot account for the lack of departure from 1:1 sex ratios. I conclude that the veiled chameleon has genetic sex determination (GSD) and that anecdotal accounts of temperature-dependent sex determination (TSD) for this species, and other chameleons are likely to reflect reporting or statistical bias.",Y,N,N,N,N,N,N,N,N,NA
1006,Andrews,R. M. Andrews and S. Donoghue,2004,Effects Of Temperature And Moisture On Embryonic Diapause Of The Veiled Chameleon (Chamaeleo calyptratus),Journal of Experimental Zoology,301,8,629-635,https://doi.org/10.1002/jez.a.56,"The development of lizard embryos is typically initiated at fertilization and continues until birth or hatching. In contrast, embryonic development of some chameleons is arrested at the gastrula stage, and embryos remain at this stage for months after the eggs are laid. Our research tested the hypothesis that increased temperature, moisture, or both, are associated with the resumption of development by diapausing embryos of Chamaeleo calyptratus, the veiled chameleon. After 40 days of incubation at 25degreesC in a relatively dry substrate, eggs were subjected to: 1) no change in temperature or moisture, 2) no change in temperature but change from a dry to a wet substrate, 3) change to a warmer temperature but no change in substrate moisture, or 4) an increase in both temperature and substrate moisture. Overall, embryos initiated development after 50-60 days to 80 or more days of incubation. Neither substrate moisture nor water uptake by eggs was related to the interval when development resumed. In contrast, development was initiated about 10 days earlier for eggs in the high temperature treatment compared to eggs in the low temperature treatment. Our results suggest that neither water availability nor water uptake by eggs affect the length of diapause but that an increase in ambient temperature initiates development of diapausing embryos of C. calyptratus. (C) 2004 Wiley-Liss, Inc.",N,N,N,Y,N,N,N,N,N,NA
1007,Andrews,"R. M. Andrews, T. Mathies, C. P. Qualls and F. J. Qualls",1999,Rates Of Embryonic Development Of Sceloporus Lizards: Do Cold Climates Favor The Evolution Of Rapid Development?,Copeia,1999,3,692-700,http://www.jstor.org/stable/1447601,"Rapid embryonic development is a potential adaptation to cold climates. We tested this hypothesis for nine species of Sceloporus lizards from four species groups and one species of Urosaurus, an outgroup, using observations corrected for incubation temperature and hatchling size. Phylogenetically based comparisons indicated that relatively rapid development is characteristic of the scalaris species group and relatively slow development is characteristic of the undulatus species group. Comparisons within these lineages were therefore used to determine whether develop mental rate was related to climate, as judged by elevation and latitude. Within the scalaris species group, developmental rates of cool climate populations of S. aeneus and S, scalaris were not faster than that of a warm climate population of S. scalaris, Within the undulatus species-group, the developmental rate of cool climate populations or species were not faster than those of warm climate populations or species. In general, developmental rates of Sceloporus are lineage specific and do not appear to be adapted to local climates.",Y,N,N,N,N,N,N,N,N,NA
1008,Andrews,"R. M. Andrews, T. Mathies and D. A. Warner",2000,"Effect Of Incubation Temperature On Morphology, Growth, And Survival Of Juvenile Sceloporus undulatus",Herpetological Monographs,14,2000,420-431,http://www.jstor.org/stable/1467055,"Incubation temperature affects a wide range of phenotypic traits of hatchling reptiles. The main objective of this research was to determine if such phenotypic traits persist long enough in the field to have an effect on fitness. Eggs of Sceloporus undulatus lizards were incubated at six temperature regimes, five constant and one fluctuating, with means ranging from 23-33 C. Hatchlings were measured and their subsequent morphology, growth, and survival were monitored for 7-9 months, one to two months before individuals reached adult size. Phenotypic traits of lizards that hatched at the field site were used for comparative purposes. Morphological trails persisted for 7-9 mo. In contrast, growth rates did not differ among incubation temperature treatments after individuals were released in the field. Overall, 29 (27%) of 107 individuals that were released survived to the spring following hatching, and individuals from eggs incubated at the lowest temperature had higher survival than individuals from all other groups. The phenotypes of lizards incubated at intermediate temperatures tended to be most similar to those of field hatched lizards. We rejected two predictions about phenotypic responses to incubation temperature. The first prediction was that extreme incubation temperatures would be associated with the most deviant phenotypes. Observed phenotypic responses to temperature were either linear or, only one extreme temperature produced a deviant phenotype. The second prediction was that hatchlings incubated at warm temperatures and that hatched early in the season would have higher survival in general and higher overwinter survival in particular than hatchlings incubated at cool temperatures and that hatched later in the season. The reverse was true; observed survival was greatest for hatchlings from the coolest incubation treatment that hatched last.",Y,N,N,N,N,N,N,N,N,NA
1009,Andrews,"R. M. Andrews, C. P. Qualls and B. R. Rose",1997,Effects Of Low Temperature On Embryonic Development Of Sceloporus Lizards,Copeia,1997,4,827-833,https://www.jstor.org/stable/1447300,"The most widely accepted explanation for the evolution of viviparity at high elevations and latitudes (cold climates) is that, by retaining eggs either for short periods (in the transition between oviparity and viviparity) or for the entire gestation period, females can keep embryos warmer than they would be in nests and, thus, enhance their development. However, an increase in the length of egg retention is not the only mechanism that would allow squamate embryos to cope with the low ambient temperatures in nests at high elevations or latitudes. We tested the hypothesis that short-term exposure to cold temperatures has less effect on embryonic development of species or populations from cold than warm climates, indicating physiological adaptation of embryos to cold temperatures. Our experimental subjects were four species (five populations) of Sceloporus lizards from a wide range of elevations: Sceloporus scalaris (Arizona, 1460 m) and Sceloporus aeneus (Mexico, 2800 m) from the scalaris species group; and Sceloporus undulatus (Virginia, 600 m) and Sceloporus virgatus (Arizona, low and high elevation populations at 1800 and 2400 m) from the undulatus species group. We incubated eggs under simulated natural temperature regimes, but experimental eggs were exposed to cold (8, 11, 14, or 17 C) for five days to determine the mortality and the delay in hatching relative to control eggs that were incubated under the same simulated natural temperature regimes. The mortality of eggs that were exposed to cold temperatures during incubation did not differ from that of control eggs, and mortality did not vary with elevation. These experimental eggs hatched later than control eggs, but the delay in hatching was again not related to elevation. The hypothesis of physiological adaptation to cold by embryos was thus rejected.",Y,N,N,N,N,N,N,N,N,NA
