Alligator mississippiensis
Amphibolurus muricatus
Anepischetosia maccoyi
Anolis carolinensis
Anolis sagrei
Apalone mutica
Apalone spinifera
Bassiana duperreyi
Bungarus multicinctus
Caiman latirostris
Calotes versicolor
Caretta caretta
Centrochelys sulcata
Chamaeleo calyptratus
Chamaeleo chamaeleon
Chelodina expansa
Chelonia mydas
Chelydra serpentina
Chrysemys picta
Coluber constrictor
Crocodylus porosus
Cyclura nubila
Deinagkistrodon acutus
Dinodon rufozonatum
Dipsosaurus dorsalis
Elaphe carinata
Elaphe taeniura
Elseya albagula
Emydura macquarii
Emys orbicularis
Eublepharis macularius
Gekko japonicus
Gopherus agassizii
Gopherus polyphemus
Graptemys ouachitensis
Hemidactylus bowringii
Heteronotia binoei
Iberolacerta cyreni
Lacerta schreiberi
Lampropholis delicata
Lampropholis guichenoti
Liasis fuscus
Macrochelys temminckii
Mauremys mutica
Mauremys reevesii
Naja atra
Nannoscincus maccoyi
Natrix natrix
Ocadia sinensis
Oedura lesueurii
Oligosoma suteri
Pantherophis obsoletus
Paroedura picta
Pelodiscus sinensis
Phrynocephalus frontalis
Phrynocephalus przewalskii
Phrynocephalus versicolor
Physignathus lesueurii
Pituophis melanoleucus
Plestiodon chinensis
Plestiodon elegans
Podarcis muralis
Podocnemis lewyana
Psammodromus algirus
Pseudemys nelsoni
Ptyas dhumnades
Saproscincus mustelinus
Sceloporus occidentalis
Sceloporus undulatus
Sceloporus virgatus
Scincella modesta
Sphenodon punctatus
Staurotypus salvinii
Takydromus septentrionalis
Takydromus stejnegeri
Takydromus wolteri
Trachemys scripta
Tropidonophis mairii
Varanus albigularis
Xenochrophis piscator
Zootoca vivipara
