Amphibolurus muricatus
Anepischetosia maccoyi
Anolis carolinensis
Anolis sagrei
Apalone mutica
Bassiana duperreyi
Bungarus multicinctus
Caiman latirostris
Calotes versicolor
Caretta caretta
Centrochelys sulcata
Chamaeleo chamaeleon
Chelodina expansa
Chelonia mydas
Chelydra serpentina
Chrysemys picta
Coluber constrictor
Crocodylus porosus
Cyclura nubila
Deinagkistrodon acutus
Elaphe carinata
Elseya albagula
Emydura macquarii
Emys orbicularis
Eublepharis macularius
Gekko japonicus
Gopherus agassizii
Hemidactylus bowringii
Heteronotia binoei
Iberolacerta cyreni
Lacerta schreiberi
Lampropholis delicata
Lampropholis guichenoti
Liasis fuscus
Mauremys mutica
Mauremys reevesii
Naja atra
Nannoscincus maccoyi
Natrix natrix
Ocadia sinensis
Oedura lesueurii
Oligosoma suteri
Pantherophis obsoletus
Paroedura picta
Pelodiscus sinensis
Phrynocephalus frontalis
Phrynocephalus przewalskii
Phrynocephalus versicolor
Pituophis melanoleucus
Plestiodon chinensis
Podarcis muralis
Psammodromus algirus
Pseudemys nelsoni
Ptyas dhumnades
Saproscincus mustelinus
Sceloporus occidentalis
Sceloporus undulatus
Sceloporus virgatus
Scincella modesta
Sphenodon punctatus
Takydromus septentrionalis
Takydromus stejnegeri
Takydromus wolteri
Trachemys scripta
Tropidonophis mairii
Varanus albigularis
Xenochrophis piscator
Zootoca vivipara
