generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Hemidactylus_bowringii,Crocodylus_porosus,0,0.032,0,0.005,0
500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0128231,0,0.00455947,0
1000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0144587,-0.000317489,0.00618235,0
1500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0213159,-0.000317489,0.0067618,0
2000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00768199,0.0808004,0.00755829,0
2500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00742631,0.0781083,0.00115994,0
3000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0100249,0.0408824,0.00946516,0
3500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00798111,0.0597731,0.00352005,0
4000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00866783,0.105952,0.00447165,0
4500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00809666,0.0277801,0.00499761,0
5000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00637415,0.0591671,0.00423294,0
5500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00860795,0.0374445,0.00683594,0
6000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00619279,0.0613269,0.000544407,0
6500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00727676,0.015579,0.000417198,0
7000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00789118,0.0475804,0.00343772,0
7500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00803021,0.0297593,0.00672732,0
8000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00726068,0.0691714,0.000795352,0
8500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00602685,0.0669066,0.000556468,0
9000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00742626,0.123095,0.00306479,0
9500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00646682,0.0509387,0.00192728,0
10000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0063107,0.0428461,0.000466313,0
10500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0072823,0.0259688,0.00234569,0
11000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00584838,0.0245225,0.00317405,0
11500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0086123,0.132873,0.000184626,0
12000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00755294,0.0551101,0.00192295,0
12500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0100102,0.0474067,0.00521354,0
13000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00940695,0.0299927,0.00862634,0
13500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00783468,0.0472214,0.00150314,0
14000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00694813,0.0246121,0.00342556,0
14500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00777961,0.0216462,0.00463702,0
15000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00788502,0.0832213,0.00563176,0
15500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00742744,0.054109,0.00171341,0
16000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00859177,0.00513322,0.00286258,0
16500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00755748,0.0414557,0.00205794,0
17000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.010439,0.00564105,0.00106581,0
17500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00751901,0.0758873,0.0107188,0
18000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00734483,0.0881939,0.0013727,0
18500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00852262,0.0638919,0.0079922,0
19000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0116934,0.00265552,0.00117155,0
19500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00869573,0.0602267,0.0057445,0
20000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00780821,0.071064,0.00322572,0
20500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00775719,0.0203014,0.00299253,0
21000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0120421,0.00141066,0.00288777,0
21500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00771895,0.0575963,0.0013605,0
22000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00725356,0.0721738,0.00494321,0
22500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00615829,0.0736531,0.000599092,0
23000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00716659,0.0627896,0.00465906,0
23500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.006237,0.0216752,0.00282292,0
24000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0109288,0.00180932,0.00123304,0
24500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00763122,0.0987916,0.00445442,0
25000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00755454,0.0475227,0.00511506,0
25500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00691575,0.0167285,0.00225005,0
26000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00643091,0.110218,0.000916128,0
26500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00733965,0.0589885,0.00415247,0
27000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00983038,0.016796,0.00614618,0
27500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00699356,0.0280465,0.000223093,0
28000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00705598,0.0461369,0.000877298,0
28500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0103425,0.0310361,0.0102608,0
29000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00883244,0.0325612,0.000663691,0
29500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00896718,0.0675375,0.00383097,0
30000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00808074,0.0479069,0.00100872,0
30500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00574966,0.0882387,0.00140251,0
31000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00736278,0.0170857,0.00188494,0
31500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00685433,0.0308819,0.000452499,0
32000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00956861,0.00644201,0.00855622,0
32500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00832022,0.01012,0.00226974,0
33000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0081649,0.0253652,0.00304408,0
33500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00672431,0.0311952,0.00418477,0
34000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00815,0.0515561,0.00625861,0
34500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00756559,0.0399574,0.00369389,0
35000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0083075,0.0913455,0.000656432,0
35500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00860291,0.0261505,0.00335658,0
36000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00826674,0.10336,0.00687107,0
36500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00820696,0.0724145,0.00296598,0
37000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0073856,0.0266772,0.000541083,0
37500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00665972,0.0313666,0.000356698,0
38000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00588456,0.0119487,0.00255237,0
38500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.011833,0.00128142,0.000595327,0
39000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0120182,0.00168118,0.000937464,0
39500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0128504,0.00144285,0.000464225,0
40000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0058123,0.0936731,0.00109047,0
40500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00923436,0.0518775,0.000763972,0
41000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00779179,0.0282233,0.0016426,0
41500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00588277,0.0468251,0.000724398,0
42000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00921422,0.0337309,0.00932463,0
42500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00941368,0.00386619,0.000441409,0
43000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0060666,0.0738245,0.000582298,0
43500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00746953,0.0595007,0.0064488,0
44000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00710445,0.0393439,0.00189789,0
44500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0111521,0.0042575,0.00441471,0
45000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00709235,0.0242074,0.0035871,0
45500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00750125,0.0237871,0.00206884,0
46000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0080975,0.129396,0.00144913,0
46500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0145335,0.00139087,0.00444233,0
47000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00856863,0.0144519,0.00234446,0
47500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00652557,0.102478,0.000200211,0
48000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00807482,0.0381962,0.00403777,0
48500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00660119,0.0409695,0.000563607,0
49000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00956405,0.00283977,0.00117377,0
49500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00832613,0.0769264,0.00553193,0
50000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00714352,0.0555505,0.0047066,0
50500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00836694,0.0255559,0.00492017,0
51000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0095728,0.0236304,0.00530195,0
51500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00923689,0.028655,0.00590183,0
52000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00788614,0.0318219,0.00349003,0
52500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00978412,0.000854091,0.00109101,0
53000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0170721,0.000204986,0.00950888,0
53500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0180852,-0.000698367,0.0006044,0
54000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0166507,-0.000698367,0.000811734,0
54500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.019199,-0.00135,0.00205165,0
55000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0259242,-0.00135,0.0076947,0
55500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0210442,-0.00135,0.00280672,0
56000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00830658,0.042818,0.00675668,0
56500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0070689,0.0559897,0.00146119,0
57000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00770953,0.0536273,0.00379502,0
57500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00893975,0.00653896,0.00258856,0
58000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00805984,0.0104589,0.00532068,0
58500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0085223,0.00745132,0.00710741,0
59000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00834214,0.0157366,0.0030117,0
59500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00801558,0.0324724,0.00332643,0
60000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0267726,-0.00111889,0.0129466,0
60500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0188395,-0.00102268,0.00133256,0
61000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0163799,-0.000716389,0.00263283,0
61500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0278122,-0.00182237,0.00629871,0
62000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00704641,0.040846,0.00320235,0
62500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00692039,0.0326147,0.000949073,0
63000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00653188,0.0273838,0.00140506,0
63500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00545209,0.0300322,0.00107614,0
64000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0110535,0.0671596,0.00842662,0
64500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00658387,0.0526322,0.00100882,0
65000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0101238,0.0433178,0.00485027,0
65500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00680825,0.0590682,0.00183113,0
66000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0159882,-0.000341603,0.000995456,0
66500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0212621,-0.00185237,2.76928e-005,0
67000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0200552,-0.00185237,0.00107703,0
67500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0184732,-0.00185237,0.000396411,0
68000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.020467,-0.00210428,0.00334679,0
68500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0354541,-0.00210428,0.0140854,0
69000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0208193,-0.00237629,0.00104104,0
69500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0380992,-0.00237629,0.0133635,0
70000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00754076,0.0148278,0.00171788,0
70500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00770276,0.0571628,0.00161201,0
71000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00757283,0.0578027,0.00197819,0
71500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0065598,0.0787677,0.000657737,0
72000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00822056,0.00700027,0.00316469,0
72500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00867648,0.0360268,0.00313436,0
73000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0143441,-0.000349731,0.00175285,0
73500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.016041,0.000251647,0.00320493,0
74000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0217115,-0.00215155,0.00251677,0
74500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0245974,-0.00215155,0.00569354,0
75000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0292744,-0.00213012,0.0109597,0
75500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0235892,-0.00213012,0.00253211,0
76000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0321013,-0.00321541,0.000773605,0
76500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0331858,-0.00321541,0.00656256,0
77000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0102308,0.0478763,0.00510947,0
77500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.00910561,0.00477613,0.00157349,0
78000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0215936,-0.00197822,6.59829e-005,0
78500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0213659,-0.0023496,0.00177235,0
79000,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0283304,-0.0023496,0.00976885,0
79500,Hemidactylus_bowringii,Crocodylus_porosus,0,0.0226636,-0.0023496,0.00107365,0
