generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0371414,0,0.005,0
500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0484915,0,7.04653e-005,0
1000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0514389,-0.000148064,5.31407e-006,0
1500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0514389,-0.000148064,0.000129537,0
2000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0504546,-0.000148064,4.58094e-005,0
2500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0504546,-0.000148064,1.8337e-005,0
2500,Macrocalamus_tweediei,Symphimus_leucostomus,287.315,2.76874,0.00886029,1.37258,0
3000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0485128,0,4.95216e-005,0
3000,Macrocalamus_tweediei,Symphimus_leucostomus,287.831,1.64225,-0.00209394,0.0593498,0
3500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0485128,0,3.01113e-005,0
3500,Macrocalamus_tweediei,Symphimus_leucostomus,288.128,1.39045,0.0477964,0.33996,0
4000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0246381,0.0569528,0.000208982,0
4000,Macrocalamus_tweediei,Symphimus_leucostomus,288.302,2.14292,-0.0081944,1.11658,0
4000,Lygodactylus_karamoja,NA,289.547,0.350899,-0.0465342,1.54429,0
4500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0246381,0.0369987,0.000111357,0
4500,Macrocalamus_tweediei,Symphimus_leucostomus,287.379,1.78973,-0.0187093,0.963745,0
5000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0513239,-0.000148064,7.33687e-005,0
5000,Macrocalamus_tweediei,Symphimus_leucostomus,287.72,1.27096,0.0418288,0.238236,0
5500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.050801,-0.000148064,0.000184395,0
5500,Macrocalamus_tweediei,Symphimus_leucostomus,288.353,1.24972,0.0700971,0.548082,0
6000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.050801,-0.000148064,1.42735e-005,0
6000,Macrocalamus_tweediei,Symphimus_leucostomus,288.443,1.91105,0.0483216,0.690415,0
6500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0521964,-0.000148064,0.00041355,0
6500,Macrocalamus_tweediei,Symphimus_leucostomus,288.27,2.31206,-0.0565531,0.505861,0
7000,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0245705,0.0196908,0.00033858,0
7000,Macrocalamus_tweediei,Symphimus_leucostomus,288.17,1.33393,0.0303249,0.325294,0
7500,Dibamus_celebensis,Crocodylus_rhombifer,0,0.0245705,0.0499451,5.33399e-005,0
7500,Macrocalamus_tweediei,Symphimus_leucostomus,288.714,2.39493,-0.086113,0.79934,0
