"","hedgesg"
"Alligator_mississippiensis",1
"Amphibolurus_muricatus",0
"Anepischetosia_maccoyi",0
"Anolis_carolinensis",0
"Anolis_sagrei",0
"Apalone_mutica",0
"Apalone_spinifera",0
"Bassiana_duperreyi",1
"Bungarus_multicinctus",0
"Caiman_latirostris",1
"Calotes_versicolor",1
"Caretta_caretta",0
"Centrochelys_sulcata",0
"Chamaeleo_calyptratus",1
"Chamaeleo_chamaeleon",1
"Chelodina_expansa",0
"Chelonia_mydas",0
"Chelydra_serpentina",0
"Chrysemys_picta",1
"Coluber_constrictor",1
"Crocodylus_porosus",1
"Cyclura_nubila",0
"Deinagkistrodon_acutus",0
"Dinodon_rufozonatum",1
"Dipsosaurus_dorsalis",1
"Elaphe_carinata",1
"Elaphe_taeniura",0
"Elseya_albagula",0
"Emydura_macquarii",1
"Emys_orbicularis",0
"Eublepharis_macularius",0
"Gekko_japonicus",1
"Gopherus_agassizii",0
"Gopherus_polyphemus",0
"Graptemys_ouachitensis",1
"Hemidactylus_bowringii",0
"Heteronotia_binoei",1
"Iberolacerta_cyreni",0
"Lacerta_schreiberi",1
"Lampropholis_delicata",0
"Lampropholis_guichenoti",0
"Liasis_fuscus",0
"Macrochelys_temminckii",0
"Mauremys_mutica",1
"Mauremys_reevesii",0
"Naja_atra",1
"Nannoscincus_maccoyi",0
"Natrix_natrix",1
"Ocadia_sinensis",0
"Oedura_lesueurii",1
"Oligosoma_suteri",1
"Pantherophis_obsoletus",0
"Paroedura_picta",0
"Pelodiscus_sinensis",0
"Phrynocephalus_frontalis",0
"Phrynocephalus_przewalskii",1
"Phrynocephalus_versicolor",1
"Physignathus_lesueurii",1
"Pituophis_melanoleucus",1
"Plestiodon_chinensis",1
"Plestiodon_elegans",0
"Podarcis_muralis",1
"Podocnemis_lewyana",1
"Psammodromus_algirus",1
"Pseudemys_nelsoni",0
"Ptyas_dhumnades",1
"Saproscincus_mustelinus",0
"Sceloporus_occidentalis",1
"Sceloporus_undulatus",0
"Sceloporus_virgatus",1
"Scincella_modesta",1
"Sphenodon_punctatus",0
"Staurotypus_salvinii",0
"Takydromus_septentrionalis",1
"Takydromus_stejnegeri",0
"Takydromus_wolteri",1
"Trachemys_scripta",1
"Tropidonophis_mairii",1
"Varanus_albigularis",1
"Xenochrophis_piscator",1
"Zootoca_vivipara",0
