"";"id";"paper_no";"species_complete";"simp_trait";"T";"mean";"units"
"1";1;1000;"Cyclura nubila";"Mass";28;74,5;"g"
"2";1;1000;"Cyclura nubila";"Mass";28;75,5;"g"
"3";1;1000;"Cyclura nubila";"Mass";28;72,9;"g"
"4";1;1000;"Cyclura nubila";"Mass";29,5;72,6;"g"
"5";1;1000;"Cyclura nubila";"Mass";29,5;72;"g"
"6";1;1000;"Cyclura nubila";"Mass";29,5;73,5;"g"
"7";1;1000;"Cyclura nubila";"Mass";31;74,6;"g"
"8";1;1000;"Cyclura nubila";"Mass";31;77,6;"g"
"9";1;1000;"Cyclura nubila";"Mass";31;74,3;"g"
"10";1;1000;"Cyclura nubila";"Mass";28;46,5;"g"
"11";1;1000;"Cyclura nubila";"Mass";28;54,5;"g"
"12";1;1000;"Cyclura nubila";"Mass";28;46,6;"g"
"13";1;1000;"Cyclura nubila";"Mass";29,5;47,5;"g"
"14";1;1000;"Cyclura nubila";"Mass";29,5;45,6;"g"
"15";1;1000;"Cyclura nubila";"Mass";29,5;51,3;"g"
"16";1;1000;"Cyclura nubila";"Mass";31;51,1;"g"
"17";1;1000;"Cyclura nubila";"Mass";31;47,1;"g"
"18";1;1000;"Cyclura nubila";"Mass";31;43,4;"g"
"19";20;1007;"Sceloporus scalaris";"Mass";17,9;0,2512;"g"
"20";21;1007;"Sceloporus virgatus";"Mass";17,9;0,4149;"g"
"21";22;1007;"Sceloporus aneus";"Mass";23;0,217;"g"
"22";23;1007;"Sceloporus undulatus";"Mass";23;0,556;"g"
"23";22;1007;"Sceloporus aneus";"Mass";25;0,215;"g"
"24";23;1007;"Sceloporus undulatus";"Mass";25;0,554;"g"
"25";24;1007;"Sceloporus occidentalis";"Mass";25,1;0,645;"g"
"26";25;1007;"Urosaurus ornatus";"Mass";25,1;0,2098;"g"
"27";20;1007;"Sceloporus scalaris";"Mass";25,1;0,2643;"g"
"28";21;1007;"Sceloporus virgatus";"Mass";25,1;0,3955;"g"
"29";25;1007;"Urosaurus ornatus";"Mass";27,3;0,2421;"g"
"30";20;1007;"Sceloporus scalaris";"Mass";27,3;0,268;"g"
"31";21;1007;"Sceloporus virgatus";"Mass";27,3;0,398;"g"
"32";22;1007;"Sceloporus aneus";"Mass";28;0,214;"g"
"33";23;1007;"Sceloporus undulatus";"Mass";28;0,555;"g"
"34";22;1007;"Sceloporus aneus";"Mass";30;0,207;"g"
"35";23;1007;"Sceloporus undulatus";"Mass";30;0,536;"g"
"36";20;1007;"Sceloporus scalaris";"Mass";30,1;0,2587;"g"
"37";21;1007;"Sceloporus virgatus";"Mass";30,1;0,3963;"g"
"38";24;1007;"Sceloporus occidentalis";"Mass";30,1;0,62;"g"
"39";25;1007;"Urosaurus ornatus";"Mass";30,1;0,2091;"g"
"40";22;1007;"Sceloporus aneus";"Mass";33;0,218;"g"
"41";23;1007;"Sceloporus undulatus";"Mass";33;0,547;"g"
"42";32;1015;"Sceloporus undulatus";"Mass";28;0,499;"g"
"43";32;1015;"Sceloporus undulatus";"Mass";30;0,53;"g"
"44";32;1015;"Sceloporus undulatus";"Mass";32;0,52;"g"
"45";32;1015;"Sceloporus undulatus";"Mass";34;0,54;"g"
"46";35;1016;"Sceloporus undulatus";"Mass";28;0,014;"mg"
"47";35;1016;"Sceloporus undulatus";"Mass";28;0,065;"mg"
"48";35;1016;"Sceloporus undulatus";"Mass";32;0,011;"mg"
"49";35;1016;"Sceloporus undulatus";"Mass";32;0,059;"mg"
"50";35;1016;"Sceloporus undulatus";"Mass";28;0,025;"mg"
"51";35;1016;"Sceloporus undulatus";"Mass";28;0,028;"mg"
"52";35;1016;"Sceloporus undulatus";"Mass";32;0,025;"mg"
"53";35;1016;"Sceloporus undulatus";"Mass";32;0,029;"mg"
"54";41;1020;"Apalone mutica";"Mass";30,5;6,3;"g"
"55";41;1020;"Apalone mutica";"Mass";30,5;6,3;"g"
"56";41;1020;"Apalone mutica";"Mass";30,5;6,3;"g"
"57";41;1020;"Apalone mutica";"Mass";30,5;4,3;"g"
"58";41;1020;"Apalone mutica";"Mass";30,5;4,3;"g"
"59";41;1020;"Apalone mutica";"Mass";30,5;4,4;"g"
"60";50;1023;"Tropidonophis mairii";"Mass";24,9;2,7;"g"
"61";50;1023;"Tropidonophis mairii";"Mass";26,6;2,7;"g"
