generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-447.009,1,0
500,0,0.851142,-418.811,0.287647,0.31
1000,0,1.06192,-418.555,0.0721604,0.284
1500,0,0.793546,-420.047,0.34148,0.258
2000,0,0.613843,-420.623,0.511693,0.271864
2500,0,0.234238,-419.299,0.891692,0.286
3000,0,0.694559,-419.428,0.432816,0.313
3500,0,0.501304,-418.893,0.63264,0.262
4000,0,0.824686,-419.729,0.30978,0.277
4500,0,0.470561,-418.77,0.673032,0.358
5000,0,1.0343,-418.158,0.107317,0.32
5500,0,0.991354,-419.558,0.148234,0.332
6000,0,0.780072,-418.986,0.354595,0.326
6500,0,0.546505,-419.919,0.592481,0.316
7000,0,1.0231,-420.232,0.124102,0.328
7500,0,-0.723951,-419.335,1.1708,0.39
8000,0,-1.75835,-418.303,0.60562,0.309836
8500,0,-0.0580398,-418.531,1.04737,0.35
9000,0,-0.147835,-418.776,0.799783,0.319298
9500,0,0.867673,-418.979,0.0721273,0.34
10000,0,0.392853,-419.828,0.0690219,0.323222
10500,0,0.887281,-420.643,0.0214307,0.392
11000,0,0.217545,-418.915,0.158872,0.381
11500,0,-0.94836,-418.887,2.02723,0.362
12000,0,0.447423,-418.795,0.6687,0.373
12500,0,0.872443,-418.875,0.0779273,0.32
13000,0,0.443467,-418.642,0.203457,0.338
13500,0,0.676435,-419.337,0.258001,0.352
14000,0,-0.0819885,-421.62,0.730185,0.351
14500,0,0.730554,-421.302,0.403534,0.342
15000,0,-0.188855,-418.866,0.939218,0.367625
15500,0,0.418759,-418.215,0.286343,0.348
16000,0,0.594052,-420.304,0.536994,0.341667
16500,1,-0.766747,-419.804,1.22576,0.366
17000,0,1.1426,-418.579,0.00235447,0.423
17500,0,0.316076,-418.996,0.821762,0.348
18000,0,-1.90914,-419.178,0.950943,0.36
18500,0,0.422006,-418.386,0.0692912,0.352
19000,0,-0.192287,-418.609,0.787852,0.36
19500,0,0.431716,-418.43,0.691226,0.342
20000,0,0.459209,-418.112,0.049117,0.362818
20500,0,0.415811,-418.531,0.520743,0.334
21000,0,-0.415886,-418.241,0.835203,0.35
21500,0,-1.71824,-422.202,0.340673,0.386
22000,0,0.954048,-420.472,0.187074,0.362
22500,0,1.11497,-419.366,0.0279733,0.274
23000,0,-0.524259,-421.32,0.174255,0.34425
23500,0,0.999885,-418.857,0.0824528,0.362
24000,0,1.01757,-419.841,0.109787,0.3055
24500,0,0.756792,-418.737,0.380657,0.274
25000,0,0.463468,-419.449,0.657023,0.277
25500,0,0.695765,-420.941,0.409803,0.286
26000,0,0.827839,-420.307,0.29493,0.272
26500,0,0.307658,-419.608,0.818405,0.304
27000,0,1.09839,-420.207,0.0214631,0.299
27500,0,0.658327,-420.634,0.456285,0.276
28000,0,0.0773483,-421.197,1.02377,0.276
28500,0,0.243386,-419.499,0.878167,0.304
29000,0,1.0712,-420.414,0.0485723,0.334
29500,0,0.915359,-419.7,0.204864,0.298
30000,0,1.06707,-418.746,0.075877,0.359533
30500,0,0.852556,-420.041,0.287806,0.322
31000,0,0.611459,-418.591,0.152356,0.369625
31500,0,0.764494,-419.765,0.0571227,0.398
