generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.115714,-49179.2,1,1
500,0,0.699696,-48502.5,0.409597,0.332
1000,0,0.576041,-48498,0.530365,0.282717
1500,0,0.950577,-48499.4,0.155706,0.284
2000,0,0.212524,-48498.8,0.894827,0.294
2500,1,-3.74914,-48476.5,1.85735,0.338
3000,1,-0.687478,-48479.9,1.25215,0.323
3500,1,-0.858962,-48479.1,0.938825,0.416
4000,2,-3.79533,-48479.3,0.99412,0.376156
4500,1,-1.6607,-48478.8,0.854399,0.444
5000,1,-0.340599,-48476.4,0.745781,0.396333
5500,1,-2.56883,-48477.1,2.05303,0.416
6000,1,-1.49746,-48474.2,0.693895,0.395
6500,1,-1.66656,-48481.9,0.472089,0.37
7000,1,-0.0845126,-48480.7,0.454624,0.419
7500,1,-3.08223,-48476.9,0.197056,0.404
8000,2,-2.07843,-48476.8,1.85056,0.3935
8500,1,0.118737,-48475.8,0.429353,0.446
9000,1,-1.21276,-48476.5,0.397464,0.43
9500,1,0.754363,-48475.7,0.299255,0.382
10000,1,-4.66319,-48477.2,1.51658,0.408359
10500,1,-3.05801,-48477.7,0.597603,0.426
11000,1,-0.473577,-48476.1,0.65948,0.42
11500,1,-3.10264,-48479.3,2.44368,0.412
12000,1,0.219307,-48479.4,0.809814,0.434
12500,1,-0.338962,-48484.2,1.37533,0.404
13000,1,-4.82847,-48478.5,2.09264,0.396
13500,1,-1.88625,-48479.1,0.917055,0.478
14000,1,-4.59085,-48482.4,0.528244,0.449
14500,1,-0.164411,-48479.4,0.618044,0.384
15000,1,-1.02293,-48475.2,0.476774,0.401833
15500,1,0.10165,-48475.9,0.276503,0.364
16000,1,-3.84259,-48480.1,0.538092,0.4
16500,1,-0.674691,-48478,0.961141,0.35
17000,1,-0.399164,-48478.5,0.168249,0.371
17500,1,-1.67474,-48478.3,1.59014,0.402
18000,1,-4.03911,-48476.3,0.32027,0.421545
18500,1,-1.37676,-48479.8,0.826715,0.402
19000,1,-3.39123,-48477.9,1.07021,0.414
19500,1,-1.23589,-48470.6,1.3078,0.43
20000,1,-0.423287,-48471.3,0.539366,0.4185
20500,1,-0.465352,-48469,0.592292,0.378
21000,4,-0.771974,-48440.2,0.748696,0.412
21500,3,-5.68979,-48440.2,2.49833,0.438
22000,3,-2.52748,-48436,1.82325,0.397
22500,3,-2.99677,-48436.3,0.851,0.438
23000,4,-1.56503,-48439.1,1.13614,0.400833
23500,4,-1.63212,-48440.5,2.00212,0.324
24000,4,-5.08901,-48441.4,3.51993,0.347
24500,4,-4.95615,-48438.5,3.04914,0.38
25000,2,-2.74402,-48453.1,1.73259,0.397182
25500,2,-1.95155,-48454.1,1.40368,0.34
26000,2,-2.00044,-48442.7,1.1372,0.381667
26500,2,-1.62622,-48444.8,1.65113,0.272
27000,4,-1.2395,-48436.2,2.32221,0.382
27500,5,-2.56322,-48437,1.83136,0.34
28000,5,-3.74247,-48435.7,2.87764,0.373
28500,4,-5.05832,-48435.8,4.57081,0.376
29000,5,-3.04065,-48435.9,2.9138,0.393
29500,7,-2.90646,-48444.2,3.47111,0.42
30000,2,-2.5414,-48450.4,0.663011,0.34175
30500,2,-3.92079,-48448.8,0.9261,0.376
31000,2,-1.4442,-48450.1,0.93608,0.381
31500,3,-4.22253,-48449.5,2.98519,0.366
32000,4,-0.659342,-48436.6,1.11269,0.406667
32500,4,-5.24759,-48436.5,4.49685,0.402
33000,4,0.0608489,-48431.2,1.09637,0.397
33500,4,-3.58138,-48425.9,3.04399,0.328
34000,4,-1.48882,-48429.2,2.48482,0.318
34500,4,-4.35552,-48432.3,3.66205,0.292
35000,4,-7.47812,-48382.6,1.98418,0.279
35500,4,-9.53718,-48349,5.19908,0.338
36000,4,-8.12242,-48353.2,1.62009,0.327
36500,4,-8.74746,-48347,1.88558,0.372
37000,4,-13.5432,-48331.9,2.76741,0.334
37500,4,-11.5323,-48336.7,1.29407,0.314
38000,4,-11.4415,-48327.6,2.309,0.303
38500,5,-8.72782,-48324.1,3.4693,0.342
39000,5,-8.3812,-48318.8,2.93799,0.343
39500,4,-10.6719,-48314.1,1.74871,0.366
40000,4,-12.2409,-48320.5,2.84344,0.349
40500,4,-11.8579,-48318.4,0.9576,0.314
41000,5,-13.446,-48317.4,2.76682,0.335
41500,5,-17.3156,-48314.8,4.43285,0.408
42000,5,-12.983,-48289.4,2.78799,0.389
42500,4,-14.7482,-48275.2,2.39368,0.356
43000,4,-10.6366,-48275.1,2.32718,0.37
43500,4,-8.5991,-48282.3,1.86618,0.374
44000,4,-7.13248,-48277.6,0.821966,0.359
44500,4,-13.0294,-48273.5,2.27047,0.378
45000,6,-11.4462,-48275.7,2.75885,0.379
45500,4,-11.4801,-48270.7,1.35696,0.404
46000,4,-7.50006,-48276.9,1.42559,0.397
46500,4,-12.4149,-48274.4,3.38519,0.342
47000,4,-11.1549,-48272.7,3.09649,0.345
47500,4,-8.57352,-48275.8,3.17125,0.436
48000,4,-12.141,-48270.7,2.94059,0.416
48500,4,-10.0654,-48276.1,2.08863,0.372
49000,5,-8.91121,-48282.4,3.05675,0.355
49500,4,-12.2996,-48278,2.42879,0.348
50000,4,-12.2788,-48270.8,2.05487,0.318
50500,4,-10.1419,-48275.8,2.33425,0.304
51000,4,-21.9881,-48271.9,3.05392,0.318
