generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-27828.4,1,0
500,0,0.410701,-27633.7,0.714175,0.278
1000,1,-1.11723,-27633.1,0.848566,0.298
1500,0,0.423553,-27632.2,0.701452,0.308
2000,0,-0.16227,-27632.6,1.28699,0.297
2500,0,-2.41885,-27633.9,3.54447,0.284
3000,0,0.896284,-27632.9,0.229058,0.304
3500,0,1.12286,-27632.7,0.00222337,0.286
4000,0,1.02485,-27635.6,0.0995119,0.300425
4500,0,0.689093,-27632.9,0.436427,0.306
5000,0,-0.0403638,-27630.6,1.16506,0.295541
5500,0,-0.249214,-27630.5,1.37397,0.316
6000,0,-1.29542,-27628.9,2.41989,0.301283
6500,0,-0.599896,-27628.5,1.72431,0.316
7000,0,0.45151,-27626.3,0.672903,0.316
7500,0,0.912261,-27626.6,0.210811,0.314
8000,0,1.10833,-27625.4,0.0159232,0.306
8500,0,-0.149947,-27625.3,1.27423,0.298
9000,0,1.01366,-27624.3,0.110439,0.294
9500,0,0.891697,-27619.5,0.229439,0.242
10000,0,0.18862,-27616,0.933381,0.262
10500,0,1.05207,-27617.3,0.0698889,0.342
11000,0,0.511628,-27616.6,0.609985,0.308125
11500,0,-0.146418,-27615.9,1.26873,0.292
12000,0,0.780354,-27616.4,0.34194,0.307625
12500,0,0.936034,-27615.4,0.186233,0.284
13000,0,1.12192,-27615.3,0.000332844,0.2925
13500,0,0.677261,-27615.5,0.444618,0.304
14000,0,0.227657,-27619.7,0.89474,0.301
14500,0,0.133387,-27607.8,0.984379,0.3
15000,0,0.423003,-27601.6,0.6964,0.313
15500,0,0.336815,-27601.4,0.783228,0.286
16000,0,0.47818,-27600.5,0.641785,0.284
16500,0,1.02502,-27601.1,0.0944201,0.334
17000,0,0.563542,-27604.3,0.556845,0.314
17500,0,1.01187,-27602,0.108587,0.304
18000,0,0.959389,-27595.1,0.159642,0.30225
18500,0,1.11448,-27596.5,0.00418387,0.268
19000,0,0.487436,-27595.4,0.63153,0.29
19500,0,1.09774,-27595.5,0.0197342,0.31
20000,0,0.975047,-27592.9,0.142954,0.285
20500,0,0.985174,-27593.8,0.132798,0.288
21000,0,0.94973,-27593.5,0.168941,0.289
21500,0,0.427823,-27593.3,0.690796,0.268
22000,0,-0.0171638,-27594,1.13526,0.288
22500,1,0.845737,-27017.7,0.322617,0.346
23000,1,0.874195,-27006.6,0.329929,0.308
23500,1,0.778749,-26978.5,0.106972,0.292
24000,2,-3.1731,-26955.3,3.87927,0.294
24500,1,-0.0347527,-26942.2,0.595613,0.316
25000,1,-0.205684,-26938.8,0.7646,0.296923
25500,1,-2.32401,-26939.8,2.82844,0.29
26000,2,-1.39946,-26939.3,1.54386,0.3
26500,1,-0.109536,-26933.5,0.517084,0.344
27000,1,-0.277248,-26947,0.718638,0.297
27500,1,-1.5472,-26938.1,1.98192,0.282
28000,2,-1.93547,-26937.8,1.9166,0.285
28500,1,-0.112258,-26939,0.53913,0.344
29000,1,-1.26749,-26939.9,1.70437,0.301565
29500,1,-2.53819,-26940,2.95601,0.294
30000,1,-0.699145,-26936.3,1.00897,0.268
30500,1,-0.619795,-26941.5,0.861793,0.252
31000,1,-0.734959,-26934.8,0.961715,0.259
31500,1,-0.978683,-26935.4,1.21403,0.292
32000,1,-0.466233,-26934,0.524232,0.269
32500,1,-1.78386,-26934,1.86499,0.274
33000,1,-0.387882,-26938.3,0.397019,0.257
33500,1,-1.88587,-26934.5,1.9366,0.262
34000,1,-0.748702,-26928.4,0.828659,0.296
34500,1,-0.903087,-26927.3,0.98965,0.31
35000,1,-0.497784,-26927.4,0.422304,0.279455
35500,1,-1.56583,-26928.5,1.47361,0.248
36000,1,-0.411919,-26935.2,0.340197,0.270333
36500,1,-1.43992,-26937.4,1.36546,0.284
37000,1,-0.627043,-26938.5,0.547595,0.285
37500,2,-1.47513,-26938.5,1.61358,0.388
38000,3,-1.52108,-26926.5,1.494,0.325333
38500,2,-0.124521,-26926.1,0.47883,0.446
39000,1,-0.314492,-26925.2,0.222189,0.386
39500,1,-0.717617,-26923.4,0.682296,0.252
40000,1,-0.707462,-26921.7,0.653848,0.267
40500,2,-1.64361,-26917,1.54751,0.264
41000,1,-0.434044,-26917.1,0.369898,0.313
41500,1,-0.834478,-26916.9,0.797843,0.304
42000,1,-0.479353,-26918.4,0.374298,0.319875
42500,1,-1.11227,-26921.2,0.992918,0.26
43000,1,-1.76595,-26920.3,1.59939,0.272
43500,1,-1.82403,-26922.4,1.70117,0.29
44000,1,-1.4234,-26921.6,1.03827,0.267
44500,1,-1.58881,-26922.2,1.20852,0.272
45000,1,-0.845448,-26914.3,0.419742,0.272
45500,1,-1.506,-26905.8,1.26416,0.244
46000,1,-0.788576,-26907.9,0.6487,0.269
46500,1,-0.452728,-26907.6,0.234879,0.292
47000,1,-0.955892,-26905.8,0.779632,0.273
47500,1,-0.953373,-26907.2,0.781874,0.288
48000,1,-2.49883,-26905.4,2.29005,0.298
48500,1,-0.969505,-26912.3,0.797609,0.274
49000,1,-0.742684,-26904.9,0.563972,0.288
49500,1,-2.12538,-26906.8,1.92036,0.238
50000,1,-1.14511,-26903.9,0.986357,0.254
50500,2,-0.335976,-26904.7,0.345143,0.318
51000,2,-1.32464,-26904.5,0.467071,0.364
51500,2,-0.920138,-26907.1,1.19943,0.424
52000,1,-0.423937,-26904.1,0.292117,0.405
52500,1,-0.426966,-26906.3,0.305077,0.256
53000,1,-1.15111,-26896.8,1.06915,0.29152
53500,1,-0.395302,-26898.6,0.313531,0.286
54000,1,-0.747177,-26907.1,0.704934,0.305462
54500,3,-6.01822,-26909.9,4.56209,0.306
55000,1,-0.719457,-26906.5,0.743973,0.315
55500,2,0.543278,-26905.1,0.314652,0.304
56000,1,-0.976792,-26910.3,0.834407,0.303895
56500,1,-0.3182,-26915.1,0.151749,0.262
57000,1,-0.792633,-26910.7,0.549415,0.275
57500,1,-0.904853,-26913.1,0.668948,0.262
58000,1,-0.769355,-26895.9,0.679603,0.29
58500,1,-0.898742,-26897.4,0.865614,0.302
59000,1,-1.06151,-26899.1,1.02682,0.283
59500,1,-2.54678,-26894.5,2.54193,0.286
60000,1,-0.378034,-26896.4,0.409498,0.277
60500,1,-1.10525,-26895.3,1.09907,0.288
61000,1,-0.137925,-26904,0.254819,0.287778
61500,1,-0.397478,-26898,0.512177,0.208
62000,1,-0.614018,-26900.8,0.55062,0.245
62500,1,-0.947481,-26901.7,1.02774,0.276
63000,1,-1.1686,-26900.3,1.36228,0.277875
63500,1,-0.565341,-26899.5,0.724125,0.25
64000,1,-1.06191,-26899.3,1.19599,0.27075
64500,1,-0.507906,-26902.7,0.661281,0.296
65000,2,-1.43897,-26895.7,0.589992,0.284
65500,1,-0.677401,-26894.8,0.783298,0.296
66000,2,-3.73502,-26902.3,1.15482,0.307
66500,1,-1.80315,-26900.1,1.88048,0.278
67000,1,-2.55117,-26906.2,2.68138,0.2844
67500,1,-0.33345,-26902.9,0.478451,0.292
68000,1,-1.20644,-26904.4,1.33847,0.268
68500,1,-0.740559,-26906,0.872141,0.278
69000,1,-0.773393,-26904.2,0.940271,0.277
69500,1,-1.52827,-26903.7,1.63477,0.282
70000,2,-4.09243,-26906.9,1.38152,0.331
70500,1,-3.24303,-26903.4,3.37552,0.276
71000,1,-1.47623,-26905.5,1.6278,0.265
71500,1,-0.629557,-26907.3,0.698012,0.29
72000,1,-2.03141,-26908.3,1.67617,0.277833
72500,1,-0.861104,-26904.5,0.558067,0.292
73000,1,-0.669949,-26897.6,0.620904,0.288909
73500,1,-1.25936,-26897.6,1.23305,0.318
74000,1,-0.228937,-26905.7,0.219304,0.307
74500,2,-1.0337,-26898.6,0.770446,0.324
75000,2,-3.16765,-26898.2,1.9666,0.346333
75500,1,-1.56853,-26900.3,1.41894,0.408
76000,1,-1.14099,-26899.4,0.990131,0.361
76500,1,-3.98285,-26900.1,3.85922,0.24
77000,1,-1.40519,-26900.3,1.25075,0.305
77500,1,-1.15905,-26897.1,1.00393,0.26
78000,1,-0.608299,-26896.6,0.453176,0.275
78500,2,-6.44644,-26899.8,2.59526,0.284
79000,1,-1.42352,-26902.9,1.45023,0.327375
79500,1,-2.18001,-26900.3,2.22325,0.266
80000,1,-0.378324,-26902.6,0.364676,0.276
80500,1,-0.865268,-26903.8,0.751597,0.29
81000,1,-0.88849,-26900.3,0.800169,0.281
81500,1,-0.968604,-26897.2,0.878931,0.312
82000,1,-0.224209,-26903.2,0.198143,0.314
82500,1,-0.47277,-26902,0.542076,0.294
83000,1,-1.78404,-26893.7,1.78202,0.304333
83500,2,-7.11078,-26896.3,2.66115,0.358
84000,1,-0.671231,-26895.9,0.663922,0.335
84500,1,-0.945383,-26895.4,0.938711,0.292
85000,2,-1.38536,-26899.3,1.27696,0.322
85500,1,-1.23661,-26892.5,1.25269,0.334
86000,2,-2.23952,-26802,1.5893,0.30981
86500,2,-2.56134,-26800.2,1.90711,0.228
87000,2,-1.15311,-26799.6,0.427003,0.247
87500,2,-1.64828,-26804.1,0.868308,0.268
88000,2,-2.25983,-26803.7,1.48899,0.275
88500,2,-2.27643,-26802.1,1.81247,0.278
89000,2,-3.31533,-26804.1,2.80385,0.279
89500,3,-3.68571,-26803.6,2.7734,0.256
90000,2,-1.16717,-26801.6,0.540642,0.303
90500,2,-2.22658,-26800.9,1.4204,0.27
91000,2,-1.36122,-26801.3,0.185199,0.274
91500,2,-1.69381,-26797.7,0.412322,0.308
92000,2,-3.50941,-26799.9,2.33112,0.289
92500,2,-2.32353,-26801.6,0.703129,0.272
93000,2,-2.49857,-26802,0.988117,0.285
93500,2,-2.83496,-26803.1,1.46189,0.282
94000,3,-1.946,-26801.9,0.866047,0.289
94500,2,-2.53205,-26803.6,0.946244,0.28
95000,2,-3.28426,-26808.6,1.61685,0.287
95500,2,-2.90293,-26802.2,1.40569,0.25
96000,2,-2.36526,-26802.6,1.05919,0.257
96500,2,-2.77526,-26801.3,1.83082,0.27
97000,2,-0.80107,-26807.4,0.134124,0.258
97500,2,-1.34705,-26805.7,0.653404,0.272
98000,2,-1.89352,-26804.2,1.28862,0.254
98500,2,-1.9448,-26799.1,1.49044,0.274
99000,2,-1.4629,-26803.2,0.884032,0.277
99500,2,-2.07716,-26805.9,0.988348,0.264
100000,2,-2.0491,-26803.3,0.998883,0.267
100500,2,-3.37473,-26806.8,2.02003,0.29
101000,2,-1.7954,-26801.9,0.992,0.272
101500,2,-3.24629,-26803.6,2.40188,0.276
102000,2,-4.5464,-26802.4,3.89909,0.298
102500,2,-1.66678,-26800,0.901888,0.256
103000,2,-1.67075,-26803.4,0.791833,0.248
103500,2,-2.07933,-26799.7,1.23448,0.3
104000,2,-2.34713,-26804.4,1.55067,0.291
104500,2,-1.2902,-26802.1,0.470604,0.3
105000,2,-1.01955,-26806.3,0.393683,0.287
105500,2,-1.76648,-26804.3,0.97694,0.28
106000,2,-3.14071,-26804.8,2.42139,0.304
106500,3,-0.779955,-26803.1,1.30809,0.34
107000,2,-3.05386,-26803.3,2.60306,0.349
107500,2,-1.87208,-26801.2,1.48095,0.294
108000,2,-1.34485,-26800.8,1.02022,0.3
108500,2,-3.89402,-26799.5,3.29863,0.272
109000,2,-2.50166,-26799.6,1.8619,0.26
109500,2,-2.40325,-26806.9,1.65507,0.282
110000,2,-1.18029,-26804.8,0.515073,0.289
110500,2,-2.18014,-26800.5,1.23777,0.278
111000,2,-1.3556,-26801.2,0.71984,0.277
111500,2,-2.10998,-26798.3,1.26274,0.298
112000,2,-1.26977,-26800.4,0.3861,0.282
112500,2,-2.92895,-26804.9,2.81064,0.306
113000,3,-1.56026,-26800.5,1.05711,0.301
113500,2,-1.642,-26802.6,1.20168,0.338
114000,2,-2.37529,-26803.3,2.00853,0.282
114500,2,-2.35901,-26802.1,1.69351,0.286
115000,2,-1.45094,-26800.8,0.778545,0.296
115500,2,-3.09374,-26799.5,2.13048,0.266
116000,2,-2.29653,-26798,1.49317,0.276
116500,2,-1.14742,-26797.7,0.454383,0.302
117000,2,-1.73917,-26798.3,1.12729,0.304
117500,3,-3.63893,-26798.6,3.35547,0.284
118000,2,-2.11431,-26797.8,1.58783,0.291
118500,2,-2.24699,-26804,1.52766,0.312
119000,2,-1.28117,-26803.8,0.481036,0.283
119500,2,-1.29279,-26799.5,0.701681,0.274
120000,1,-2.69958,-26873.5,2.94515,0.293405
120500,1,-1.88474,-26875.2,2.13062,0.272
121000,1,-0.684856,-26876.9,0.973512,0.274
121500,1,-1.2963,-26878.2,1.57478,0.29
122000,1,-0.34256,-26875.5,0.621109,0.287
122500,2,-1.33857,-26873.6,2.05493,0.302
123000,2,-1.53,-26806.1,1.16244,0.28975
123500,2,-2.70804,-26800.6,2.19117,0.282
124000,2,-1.7804,-26800.3,1.14923,0.289
124500,2,-0.866174,-26795.2,0.237913,0.282
125000,2,-2.22242,-26793.8,1.44897,0.291
125500,2,-3.51946,-26783.2,2.57729,0.28
126000,2,-4.06781,-26787,3.0536,0.284
126500,2,-2.31769,-26788.4,1.40192,0.322
127000,1,-0.858676,-26846.3,0.763891,0.291511
127500,1,-1.64091,-26837.4,1.51657,0.268
128000,1,-1.04978,-26841.9,1.04155,0.29
128500,1,-0.388253,-26841.6,0.383373,0.338
129000,1,-0.365396,-26843.3,0.423505,0.298
129500,1,-1.08188,-26842.5,1.08747,0.28
130000,2,-1.51993,-26784.5,0.794849,0.30175
130500,3,-3.35761,-26786.6,1.34751,0.31
131000,2,-2.21868,-26783.1,1.10642,0.281
131500,2,-1.72057,-26780.7,0.795685,0.272
132000,2,-2.20174,-26780.9,1.21932,0.284
132500,2,-2.16166,-26781.9,1.11794,0.252
133000,2,-3.62677,-26785,3.19283,0.273
133500,2,-0.763,-26782,0.280642,0.292
134000,2,-2.04709,-26783.4,1.55703,0.286
134500,2,-1.38371,-26782.7,0.672637,0.296
135000,1,-0.645843,-26827.4,0.418073,0.28864
135500,1,-1.87571,-26826.1,1.67727,0.268
136000,1,-2.53197,-26833.6,2.34743,0.287857
136500,2,-2.61028,-26830,2.14674,0.356
137000,2,-1.35255,-26827.1,1.46361,0.3175
137500,1,-0.930966,-26827.5,0.70887,0.298
138000,3,-1.4152,-26810.2,0.985371,0.301636
138500,2,-2.55363,-26803.6,0.665242,0.386
139000,3,-4.93304,-26772.6,1.87979,0.3108
139500,3,-5.39342,-26773,2.34463,0.324
140000,3,-3.28436,-26779.4,1.03216,0.301
140500,3,-4.45103,-26777.3,3.44607,0.338
141000,3,-4.53453,-26777.8,2.38603,0.343
141500,3,-2.82882,-26779,1.56517,0.33
