generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-27828.4,1,0
500,0,0.8906,-27636.1,0.233608,0.31
1000,0,-0.0711587,-27632.6,1.196,0.286713
1500,0,1.056,-27632.5,0.0690248,0.326
2000,0,0.885726,-27622.6,0.237736,0.335
2500,0,0.987303,-27622.7,0.135668,0.298
3000,0,1.04655,-27607.3,0.0728578,0.301233
3500,0,1.11122,-27605.3,0.00915952,0.272
4000,0,0.639393,-27605.3,0.481141,0.266
4500,0,-0.217817,-27606.3,1.33832,0.278
5000,0,0.905755,-27605,0.215024,0.293
5500,0,0.20293,-27604.8,0.917579,0.302
6000,0,0.86208,-27622.2,0.261439,0.291451
6500,0,0.958243,-27622.1,0.165267,0.286
7000,0,1.0819,-27622.7,0.0415949,0.301
7500,0,1.11553,-27622.5,0.00817524,0.304
8000,0,0.995147,-27605.1,0.125017,0.300667
8500,0,1.06684,-27605.6,0.0533022,0.316
9000,0,0.680258,-27604.8,0.440369,0.295
9500,0,0.25683,-27607,0.863813,0.298
10000,0,-0.493382,-27622.9,1.61701,0.302333
10500,0,0.646239,-27623.5,0.477676,0.302
11000,0,1.05283,-27623.3,0.0710907,0.295
11500,0,-0.571452,-27625.4,1.69531,0.328
12000,0,1.01576,-27623.3,0.107761,0.291
12500,0,0.487428,-27623.1,0.636428,0.282
13000,0,0.641366,-27624.5,0.482448,0.284
13500,0,1.03483,-27624.2,0.0889161,0.318
14000,0,1.01805,-27624.5,0.105676,0.295
14500,0,1.12191,-27624.3,0.00169616,0.272
15000,0,0.912798,-27622.7,0.210656,0.2882
15500,0,1.08474,-27624.6,0.038606,0.296
16000,1,-1.11285,-27618.8,1.65117,0.289
16500,1,1.17824,-27616.9,0.177063,0.39
17000,1,-0.865892,-27593.6,1.40413,0.3105
17500,1,0.366913,-27592.7,0.849901,0.44
18000,1,0.713946,-27592.9,0.969624,0.424
18500,1,1.26156,-27591.4,0.0934912,0.454
19000,1,1.56307,-27595.5,0.153804,0.474
19500,1,1.54214,-27592.9,0.445265,0.434
20000,1,1.66487,-27592.5,0.33494,0.457
20500,1,0.489509,-27597.1,0.812017,0.448
21000,1,1.09808,-27597.2,0.877515,0.457
21500,1,0.29625,-27593.2,1.19195,0.442
22000,2,-0.868413,-27591.2,1.64974,0.42
22500,1,-0.956762,-27591.8,2.24185,0.428
23000,1,-0.572743,-27594.1,0.749147,0.43
23500,1,-0.548304,-27592.9,1.20606,0.402
24000,1,-0.366716,-27593.4,0.967352,0.396
24500,1,0.593649,-27594.2,0.36613,0.392
25000,1,1.44979,-27592,0.576611,0.402
25500,1,0.891669,-27592.8,0.398954,0.392
26000,1,-0.373673,-27592.1,1.45722,0.347
26500,1,-1.07142,-27592.1,2.4096,0.328
27000,1,1.46582,-27591.6,0.409009,0.359
27500,1,0.571337,-27593.6,0.619649,0.426
28000,1,-2.06871,-27609.2,0.583043,0.392
28500,0,0.46251,-27609.7,0.658866,0.35
29000,1,-2.09419,-27609.9,1.24369,0.317
29500,0,0.472848,-27609.2,0.648223,0.45
30000,0,0.387282,-27598.7,0.731918,0.337
30500,0,1.10431,-27598.6,0.015201,0.32
31000,0,1.00849,-27599.1,0.110922,0.281
31500,0,1.00556,-27599.7,0.114534,0.294
32000,0,0.625107,-27599.1,0.493685,0.353
32500,0,1.11543,-27600,0.00380083,0.302
33000,0,1.04916,-27600.4,0.070239,0.34136
33500,0,-0.0902326,-27599.8,1.20893,0.332
34000,0,1.05438,-27602.3,0.0659106,0.322
34500,0,0.050955,-27598.9,1.06785,0.284
35000,0,1.0023,-27580.7,0.113734,0.31885
35500,0,0.946034,-27578.1,0.168347,0.302
36000,0,0.878031,-27578.4,0.23645,0.297
36500,0,0.0685727,-27577.9,1.04667,0.364
37000,0,0.824186,-27577.8,0.290963,0.321
37500,0,0.876372,-27578.9,0.238743,0.256
38000,0,-1.22866,-27599.3,2.34768,0.308667
38500,0,1.06977,-27600,0.0485437,0.316
39000,0,0.613696,-27592.8,0.504549,0.305
39500,0,0.341093,-27582.5,0.7753,0.304
40000,0,0.315242,-27582.5,0.801071,0.291
40500,0,0.83754,-27584.9,0.277676,0.302
41000,0,0.545226,-27562.3,0.565686,0.3005
41500,0,1.02138,-27562.7,0.0903287,0.288
42000,0,0.517416,-27562.5,0.594574,0.319385
42500,0,0.114454,-27558.5,0.996128,0.29
43000,0,0.00316878,-27557.8,1.10777,0.315
43500,0,0.823236,-27558.9,0.288234,0.312
44000,0,0.609784,-27560.1,0.501453,0.316
44500,0,0.999701,-27560.7,0.11206,0.314
45000,0,1.04754,-27561,0.0635134,0.298
45500,0,-0.862522,-27551.5,1.97196,0.26
46000,0,0.931428,-27551.2,0.178023,0.284
46500,0,0.63582,-27555.4,0.474432,0.292
47000,0,-0.331878,-27553,1.44164,0.293
47500,0,0.778841,-27553.1,0.328641,0.27
48000,0,1.07682,-27551,0.031565,0.287
48500,0,0.865369,-27554.1,0.244117,0.296
49000,0,0.967771,-27542.2,0.139032,0.299933
49500,1,0.662933,-27541.7,1.21707,0.316
50000,0,0.144463,-27553.5,0.96482,0.293
50500,0,-0.87256,-27554.9,1.98133,0.296
51000,0,0.465448,-27553.4,0.643859,0.303
51500,0,1.04165,-27550.1,0.0664654,0.296
52000,0,0.993619,-27549.9,0.114726,0.305
52500,0,0.796336,-27550.9,0.311974,0.322
53000,0,1.07937,-27550,0.0293398,0.32
53500,0,0.995104,-27551,0.113494,0.294
54000,0,0.80107,-27538.3,0.303509,0.3066
54500,0,-2.07312,-27538.5,3.17902,0.308
55000,0,0.932519,-27538.5,0.173384,0.314
55500,0,-0.641981,-27538,1.74714,0.294
56000,0,-0.210184,-27551.8,1.31918,0.304667
56500,0,0.612497,-27554.2,0.495701,0.3
57000,0,0.815542,-27551.8,0.292863,0.278
57500,0,0.995277,-27550.3,0.113622,0.286
58000,1,-2.21562,-27548.1,2.38967,0.3023
58500,0,0.450722,-27548,0.657332,0.3
59000,0,0.572222,-27553.1,0.534802,0.294
59500,0,0.310826,-27549.9,0.797655,0.306
60000,0,0.968988,-27537.7,0.13629,0.2978
60500,0,0.0923988,-27540.8,1.01391,0.306
61000,1,-1.64567,-27539.4,0.86227,0.317
61500,0,-0.432743,-27537.8,1.53863,0.3
62000,0,0.797283,-27537.8,0.308436,0.27
62500,0,1.09632,-27542.5,0.00871223,0.316
63000,0,0.733852,-27537.8,0.371942,0.335
63500,0,0.752371,-27538.7,0.353665,0.298
64000,0,-0.0276735,-27537.9,1.13338,0.293
64500,0,0.73174,-27538.5,0.373415,0.294
65000,0,0.647181,-27538.9,0.457395,0.284
65500,0,0.428798,-27538.3,0.677181,0.304
66000,0,0.768032,-27537.6,0.337543,0.299
66500,0,-1.02332,-27539.5,2.12999,0.31
67000,0,0.937283,-27538.4,0.168738,0.32
67500,0,0.683668,-27526.7,0.41784,0.322
68000,0,0.24945,-27525.9,0.85306,0.306
68500,0,0.99624,-27525.6,0.105987,0.326
69000,0,0.872192,-27526.2,0.229478,0.305
69500,0,0.229567,-27526,0.872839,0.3
70000,0,0.501826,-27557.9,0.608151,0.3014
70500,0,-0.213364,-27558.7,1.32332,0.31
71000,0,0.580994,-27559.1,0.528521,0.312
71500,0,1.03683,-27562.7,0.0735537,0.26
72000,0,0.802726,-27557.3,0.307777,0.273
72500,0,0.767518,-27556.7,0.342534,0.274
73000,1,-1.95456,-27552.5,0.386227,0.306
73500,0,0.815685,-27552.8,0.291411,0.302
74000,0,0.966883,-27550.2,0.141088,0.288
74500,0,0.432321,-27550.2,0.676422,0.298
75000,0,0.752732,-27532,0.348749,0.301312
75500,0,1.04797,-27530.4,0.0560109,0.27
76000,0,0.98231,-27501.5,0.110934,0.291857
76500,0,1.0697,-27492,0.0199325,0.328
77000,0,1.00899,-27493.2,0.0825293,0.306
77500,0,1.00542,-27494.8,0.0851411,0.248
78000,0,0.943089,-27521.4,0.158273,0.288333
78500,0,0.897547,-27521.3,0.203041,0.264
79000,0,-0.498085,-27541.3,1.60466,0.2842
79500,0,0.642837,-27541.9,0.462556,0.292
80000,0,0.349312,-27540.3,0.756752,0.299
80500,0,0.564147,-27542.4,0.541485,0.288
81000,1,-0.338552,-27540.7,1.81436,0.302
81500,0,-0.301797,-27541.8,1.40819,0.34
82000,0,-0.84373,-27544.2,1.95094,0.31
82500,0,1.02339,-27542.1,0.0825627,0.334
83000,0,0.873892,-27540.8,0.232101,0.302
83500,0,1.07415,-27540.8,0.0316073,0.3
84000,0,0.911246,-27521.9,0.190014,0.298
84500,1,-0.199099,-26934.5,0.872895,0.328
85000,1,-0.797257,-26929.6,1.37229,0.315
85500,1,-0.567867,-26928.4,1.1158,0.284
86000,1,0.262254,-26925.1,0.205896,0.283
86500,1,-0.111232,-26925.7,0.541659,0.286
87000,1,-1.16347,-26924.3,1.65535,0.284
87500,1,-0.430002,-26915.9,0.946112,0.31
88000,1,-0.182181,-26894.8,0.65848,0.294727
88500,1,-0.112277,-26882.8,0.600253,0.286
89000,1,-2.35507,-26870.7,2.9112,0.279
89500,1,-0.0810019,-26863.6,0.700107,0.276
90000,1,-1.0025,-26864.3,1.6476,0.281
90500,1,0.168962,-26865.4,0.462906,0.304
91000,1,-0.346499,-26859,0.868406,0.283
91500,1,-0.164304,-26856.1,0.493872,0.298
92000,1,-0.116547,-26858.4,0.495779,0.303
92500,1,-0.242877,-26858.5,0.600197,0.252
93000,1,-0.0431712,-26855,0.422012,0.269
93500,1,-0.917512,-26856.1,1.33551,0.312
94000,1,-0.364552,-26857.8,0.826768,0.294
94500,1,-0.0202976,-26854.8,0.254557,0.272
95000,1,-1.0723,-26850.9,1.26492,0.262
95500,1,-0.476652,-26852,0.513775,0.322
96000,1,-0.331322,-26851.8,0.430838,0.311
96500,1,-0.751705,-26851.4,0.869055,0.272
97000,1,-0.161461,-26850.9,0.255617,0.284
97500,2,0.329655,-26852.8,0.525837,0.322
98000,1,-1.17305,-26851.4,1.26673,0.318
98500,2,-3.67969,-26855.3,2.42981,0.284
99000,1,-2.46493,-26870.9,2.4949,0.287917
99500,1,-1.16009,-26867.3,1.19415,0.252
100000,1,-0.757205,-26869.2,0.743936,0.268
100500,1,-0.559845,-26866.8,0.446222,0.318
101000,1,-0.344364,-26868.4,0.229988,0.282
101500,1,-0.667007,-26869,0.547301,0.254
102000,1,-1.76052,-26869.1,1.6985,0.284
