generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.108095,-13044.8,1,1
500,3,-59.3743,-1478.84,2.57755,0.532
1000,0,-207.19,-1068.45,1.0664,0.499
1500,1,-309.754,-891.755,0.435889,0.588
2000,2,-299.71,-901.926,2.93033,0.525237
2500,1,-312.982,-887.485,0.244248,0.544
3000,2,-334.531,-848.961,2.04525,0.516
3500,1,-343.8,-834.947,1.39038,0.464
4000,1,-411.963,-751.898,2.2129,0.543
4500,0,-416.935,-744.623,1.1066,0.5
5000,1,-404.076,-759.061,0.790827,0.510698
5500,0,-417.261,-742.748,0.2252,0.534
6000,0,-454.955,-699.187,0.320821,0.5398
6500,0,-452.824,-701.969,0.247029,0.392
7000,3,-439.938,-730.829,2.57552,0.48
7500,0,-413.154,-747.999,0.848697,0.556
8000,1,-447.862,-708.128,0.470528,0.521
8500,2,-461.54,-697.229,0.345267,0.596
9000,0,-472.45,-680.538,0.0299314,0.541
9500,1,-485.605,-670.063,2.11176,0.33
10000,0,-483.705,-668.896,0.44206,0.405
10500,0,-526.119,-627.496,2.20798,0.346
11000,1,-529.309,-628.025,1.9574,0.338
11500,0,-510.645,-642.168,1.20721,0.524
12000,0,-512.169,-639.246,0.0351461,0.48875
12500,2,-493.771,-658.821,0.914616,0.368
13000,1,-485.054,-666.974,0.987566,0.482
13500,1,-471.399,-682.012,0.344836,0.37
14000,1,-547.846,-607.438,1.82947,0.47475
14500,1,-549.415,-604.54,0.801309,0.622
15000,2,-516.371,-640.634,0.547619,0.428
15500,0,-483.44,-668.598,0.0756238,0.392
16000,0,-480.522,-671.681,0.174912,0.36
16500,1,-482.528,-671.488,1.08094,0.418
17000,1,-509.279,-642.566,0.638365,0.481383
17500,2,-568.932,-585.574,0.343276,0.562
18000,0,-508.934,-644.339,0.780946,0.467571
18500,1,-521.303,-630.886,0.142032,0.49
19000,3,-521.221,-638.104,2.86974,0.576
19500,3,-506.077,-649.183,1.75418,0.684
20000,2,-492.688,-663.232,2.06725,0.658
20500,1,-497.966,-656.354,0.409527,0.624
21000,2,-515.113,-640.168,1.45982,0.57
21500,0,-525.348,-627.377,1.00126,0.564
22000,3,-548.36,-610.641,3.55419,0.5415
