state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	0.640	146.269	1.165	3	0	0.000	1.132	3.585	-248.24	-1124.79	0.01	0.00
200	0.810	297.771	0.810	3	0	0.000	1.387	7.108	-239.22	-1124.90	0.00	-3.17
300	0.446	354.598	0.446	5	0	0.000	1.317	6.307	-231.69	-1128.69	0.00	0.00
400	0.297	585.549	0.297	7	0	0.000	1.317	6.514	-225.37	-1133.81	0.00	0.00
500	0.265	637.718	0.265	7	0	0.000	1.711	4.981	-216.84	-1134.00	-1.09	0.00
600	0.197	560.599	0.197	7	0	0.000	1.662	3.809	-216.06	-1133.86	0.00	-4.75
700	0.329	348.446	0.329	6	0	0.000	1.609	3.479	-224.37	-1131.02	0.00	-4.24
800	0.243	382.991	0.243	7	1	48.867	1.609	4.758	-221.95	-1134.52	-0.03	-0.69
900	0.077	49.480	0.077	6	1	48.461	1.668	4.776	-218.88	-1132.18	1.09	0.00
1000	0.142	29.946	0.142	5	3	42.648	2.112	4.651	-218.89	-1130.88	0.00	0.00
1100	0.240	28.056	0.240	5	0	0.000	2.112	4.430	-222.70	-1128.54	0.00	0.00
1200	0.138	47.129	0.138	5	0	0.000	2.562	2.749	-216.20	-1128.73	0.00	0.00
1300	0.076	38.341	0.076	5	0	0.000	2.414	2.056	-215.38	-1128.62	0.00	-5.77
1400	0.044	32.067	0.044	5	0	0.000	2.285	2.449	-217.49	-1128.57	0.00	-6.07
1500	0.230	35.783	0.230	4	1	33.489	1.950	3.020	-224.99	-1127.85	0.00	0.00
1600	0.048	46.649	0.048	4	0	0.000	2.041	2.350	-215.12	-1126.76	0.22	0.00
1700	0.025	129.996	0.025	5	0	0.000	1.881	2.350	-205.43	-1129.74	0.52	0.69
1800	0.028	268.464	0.028	5	2	33.471	1.549	2.350	-194.28	-1133.10	-0.07	0.00
1900	0.033	68.153	0.033	5	0	0.000	2.117	2.350	-202.49	-1128.96	0.00	-6.52
