"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
1;0,0499878886710027;0,0705058259340377;0,0929587923678252;0,000214355576950397;0,0928215080046022;0,00161335644997761;0,00785166660495522;0,054815807775884;0,0968406296494188;0,000506737361159641;0,0677184259204578;0,0234079373025378;-366,539912296676
2;0,0275973830196355;0,0175439068866667;0,111587141551636;0,070664510050657;0,0731575483216858;0,000417250073305968;0,0299657397956324;0,115859004669325;0,228242565439846;0,00627227050773298;0,0998537250283055;0,0357792698450746;-365,269256751334
3;0,087054897487906;0,109258985197133;0,115040991648261;0,038947161996386;0,133098394450148;0,0231112637735954;0,0314448415297642;0,135127462100432;0,123980750530857;0,095751500642789;0,0912494486749401;0,0265389318219429;-364,544562914647
4;0,0886191595973042;0,23665240922856;0,113699935805408;0,190995958565053;0,081463123187175;0,0198859619299098;0,00187963796108281;0,151667322722486;0,281064249439323;0,114891659517606;0,0985605700696265;0,0853341802156402;-367,753428264985
5;0,0655810555944187;0,123580483441883;0,13019588598462;0,192045074175593;0,0141972742510783;0,0313089351995251;0,00454363624861707;0,316710879571482;0,895993066661273;0,0606814743590966;0,134497287577426;0,110665245544305;-369,923029328413
6;0,00388528945293845;0,322244673231248;0,164792781145084;0,112233398303118;0,732815360280467;0,0170480857154484;0,164557048932147;0,447224759865941;1,86586381412391;0,0588153031239703;0,147824753488055;0,181063492672975;-371,921255028366
7;0,0472673396640865;0,633816448857908;0,17165684142972;0,0422641501568522;1,05063002789843;0,013591650238527;0,249826939846558;0,365065501914973;2,07488222497217;0,186140590018123;0,165558392199194;0,176088588200732;-374,105784065043
8;0,0550716988356045;0,485918770566544;0,151598746472232;0,0458350146904049;0,932138941981103;0,0101839647033819;0,384596337659047;0,467955702211842;1,4033579806458;0,0965015232035715;0,171865062215208;0,138276339641798;-371,693245403594
9;0,0053998802433385;0,540121051283459;0,14721943581664;0,00346872776995418;0,621813223334085;0,0501586765567047;0,3978727260002;0,492993993405179;2,21216055864665;0,0864412230224144;0,164604351781805;0,148887743716905;-370,741082232553
10;0,0109698062210069;0,39939741057832;0,156333751164034;0,00356364265040899;0,343742668712955;0,0574139618164847;0,289711246039946;0,457447049230818;2,43890481918177;0,0477689366284919;0,259617644207624;0,104992300474586;-371,229171042441
11;0,0275224365805456;0,274413181618859;0,139619767318229;0,024839275552143;0,531084467426963;0,0621881498053826;0,2795209366393;0,828146078150686;1,92354812580975;0,285072278712015;0,30072632164704;0,0615402833029302;-372,807196319807
12;0,0861899462614386;0,287455278051727;0,149281008892905;0,0499079465582421;0,3529371868209;0,0815566301082224;1,61155238510003;0,615103049178312;6,308847692458;0,173486244421717;0,302243272495116;0,000693033195420553;-374,729454789171
13;0,101618803438304;0,127755390340069;0,124127095078147;0,0374706370518465;0,270449183616459;0,021090611468146;2,0658191758205;0,583497281142523;5,4637706488605;0,274790781537753;0,418249470960699;0,00284406558833629;-370,673971781904
14;0,0370501083188221;0,104283415145249;0,132312917725538;0,0542000117950522;0,209990849609796;0,00682202533395631;1,22456825597794;0,733675419610182;2,96157144600735;0,444893144267362;0,465256726257516;0,0637770393377958;-367,987789586005
15;0,0191174754040563;0,0318448013312159;0,16594346708293;0,0857788785488447;0,235725786082719;0,00154983543938;1,44266955329405;0,89140784547509;2,94389391785401;0,567902396268348;0,519426068155947;0,0538154185551988;-369,384939501198
16;0,0632363218782529;0,0238497628055814;0,145667479003985;0,148212323579367;0,115042775161895;0,00796539520580286;0,895411476904851;1,35731081783104;2,96269955912801;0,334003588216019;0,550363072234975;0,0607159401205222;-370,166261203145
17;0,0641933236360267;0,114860667563626;0,139887760588535;0,107814000342753;0,389361358781895;0,00484080598845623;0,971642708245252;1,18123925658907;3,49570657684816;0,971432999160804;0,61074325293172;0,136994871123379;-371,002978704607
18;0,0630798315728953;0,0950147661778315;0,136850664980881;0,058840185026404;0,575315220900426;0,00625004497180266;0,836935757037198;1,38720313156484;0,676047190794065;2,61874532748837;1,08063733354477;0,114973566099471;-371,374982863691
19;0,0654301681471227;0,0871063720872861;0,164015534840595;0,0766125258787247;0,313739367654032;0,0340931137034131;0,91343788092648;1,27398007868436;0,319577005121343;3,13879684022681;1,04461433056226;0,0196438653778502;-371,457705491431
20;0,0554124443220359;0,0382667274468683;0,162598996800072;0,0869608124193008;0,174345311866641;0,00146313677216099;0,963305663033279;0,372272671273883;0,0401156919769838;3,8270734748305;0,916353907976838;0,127271720747737;-369,694754122953
21;0,0496173836029145;0,0606145683963507;0,151921043123345;0,0508902644399059;0,429410710375416;0,00110192403393431;1,01013322435436;0,719611648947943;0,146830380240955;4,26672194056194;0,819298011010804;0,328788116741327;-370,104897100459
22;0,040405736253955;0,050018260026922;0,145954535115547;0,0228621373651776;0,325339170306235;0,0110463653735562;0,884555827466919;0,655793074932616;0,210205916357975;3,27822463537928;0,765138616893797;0,25528726460134;-368,67024639918
