Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden[3]	extinction_hidden[4]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_hidden_unormalized[3]	extinction_hidden_unormalized[4]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	R[3]	R[4]	R[5]	R[6]	R[7]	R[8]	R[9]	R[10]	R[11]	R[12]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	rate_category_prior[7]	rate_category_prior[8]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden[3]	speciation_hidden[4]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_hidden_unormalized[3]	speciation_hidden_unormalized[4]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	0	-4181.961	-4200.203	18.24192	0.117609	0.117609	0.167825	0.167825	0.220381	0.220381	0.314479	0.314479	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.205073	0.205073	0.001501551	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.00150155	0.219709	0.0210312	0.122695	0.0027714	0.169254	0.327094	0.0384228	0.099023	0.835687	0.835687	1.43793	1.43793	2.17937	2.17937	3.74994	3.74994	0.407506	0.701177	1.06273	1.82859	0.6525158	0.472073	0.812274	1.23111	2.11832	2.05073	2.05073	0.000449525	0.0015331
1	1	-10501.25	-10520.97	19.71919	0.201966	0.201966	0.204199	0.204199	0.205926	0.205926	0.208202	0.208202	0.984849	0.995735	1.00416	1.01526	0.01321733	0.98491	0.995797	1.00422	1.01532	0.205073	0.205073	2.677384e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	2.67738e-07	0.0717672	0.0290273	0.225837	0.101118	0.335798	0.0151052	0.198854	0.0224936	2.02592	2.02592	2.04377	2.04377	2.05756	2.05756	2.07569	2.07569	0.9879	0.996605	1.00333	1.01217	0.01054834	0.987939	0.996645	1.00337	1.01221	2.05073	2.05073	0.00369253	0.00033987
2	0	-1781.772	-1800.226	18.4545	0.0774908	0.117609	0.110578	0.167825	0.145206	0.220381	0.207206	0.314479	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.13512	0.205073	0.001332151	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.00133215	0.219709	0.0210312	0.122695	0.0027714	0.169254	0.327094	0.0384228	0.099023	0.653768	0.390693	1.33525	0.797948	2.3078	1.37915	4.71343	2.81676	0.290233	0.592768	1.02452	2.09248	0.8586175	0.372429	0.760644	1.31467	2.68508	2.25256	1.34614	0.000473434	0.00198768
3	1	-8623.816	-8642.455	18.6389	0.544158	0.201966	0.550173	0.204199	0.554827	0.205926	0.56096	0.208202	0.984849	0.995735	1.00416	1.01526	0.01321733	0.98491	0.995797	1.00422	1.01532	0.55253	0.205073	2.690005e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	2.69e-07	0.0732115	0.0296114	0.230382	0.0830286	0.342556	0.0154092	0.202855	0.0229463	2.01122	1.96055	2.03956	1.98818	2.06155	2.00961	2.0906	2.03793	0.980732	0.994553	1.00527	1.01944	0.01682521	0.980831	0.994653	1.00538	1.01954	2.05073	1.99906	0.00369253	0.000517592
4	0	-894.9102	-915.0479	20.13767	0.0869931	0.117609	0.124137	0.167825	0.163012	0.220381	0.232615	0.314479	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.151689	0.205073	0.001282181	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.00128218	0.219709	0.0210312	0.122695	0.0027714	0.169254	0.327094	0.0384228	0.099023	0.335723	0.168967	0.685678	0.345098	1.18511	0.596456	2.42045	1.2182	0.290233	0.592768	1.02452	2.09248	0.8586175	0.372429	0.760644	1.31467	2.68508	1.15674	0.582179	0.000473434	0.00153488
5	1	-3198.31	-3215.87	17.56035	0.881778	0.441811	0.887708	0.444782	0.892279	0.447073	0.898279	0.450079	0.990749	0.997412	1.00255	1.00929	0.008058982	0.990772	0.997435	1.00257	1.00931	0.890011	0.445936	2.655433e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	2.65543e-07	0.107309	0.194821	0.179203	0.0645838	0.266457	0.0119861	0.157791	0.0178488	1.39924	1.33801	1.44667	1.38337	1.4841	1.41916	1.53441	1.46727	0.954391	0.986744	1.01227	1.04659	0.04008328	0.954937	0.987309	1.01285	1.04719	1.46611	1.40196	0.00451702	0.000521409
6	0	-846.1117	-866.9496	20.83789	0.0869931	0.117609	0.124137	0.167825	0.163012	0.220381	0.232615	0.314479	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.151689	0.205073	0.0008487787	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.000848779	0.214482	0.0284424	0.119776	0.00270547	0.165227	0.169536	0.203164	0.0966672	0.236527	0.159578	0.487881	0.32916	0.849654	0.573238	1.75257	1.18241	0.284403	0.586636	1.02164	2.10732	0.8705098	0.367368	0.757767	1.31967	2.72206	0.831659	0.561097	0.000575072	0.00126218
7	1	-2008.218	-2025.449	17.23145	0.884324	0.624583	0.888425	0.627479	0.89158	0.629708	0.895715	0.632628	0.99361	0.998218	1.00176	1.00641	0.00556302	0.993621	0.998229	1.00177	1.00642	0.890011	0.628599	2.353503e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	2.3535e-07	0.107309	0.194821	0.179203	0.0645838	0.266457	0.0119861	0.157791	0.0178488	1.18492	1.30824	1.24458	1.37411	1.29232	1.42682	1.35738	1.49866	0.933154	0.980138	1.01773	1.06897	0.05906229	0.934314	0.981356	1.019	1.0703	1.2698	1.40196	0.00451702	0.000694538
8	0	-812.7742	-834.0319	21.2577	0.105083	0.117609	0.14995	0.167825	0.196909	0.220381	0.280985	0.314479	0.573495	0.818364	1.07465	1.53349	0.4275028	0.611538	0.872651	1.14593	1.63522	0.183232	0.205073	0.0005209126	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.000520913	0.232995	0.0308974	0.0447633	0.00197554	0.179489	0.184169	0.2207	0.105011	0.156425	0.159578	0.322657	0.32916	0.561913	0.573238	1.15905	1.18241	0.284403	0.586636	1.02164	2.10732	0.8705098	0.367368	0.757767	1.31967	2.72206	0.550012	0.561097	0.00056923	0.00126218
9	1	-733.9639	-752.6068	18.64288	0.789027	0.620287	0.796631	0.626264	0.802506	0.630883	0.81024	0.636963	0.986776	0.996285	1.00363	1.01331	0.01153113	0.986823	0.996332	1.00368	1.01335	0.799601	0.628599	3.739013e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	3.73901e-07	0.0952434	0.172915	0.159053	0.0605577	0.236496	0.0106383	0.140049	0.125048	0.762157	0.649485	0.79265	0.67547	0.816837	0.696082	0.849518	0.723931	0.946437	0.984303	1.01434	1.05492	0.04716703	0.947187	0.985083	1.01514	1.05576	0.805291	0.686242	0.0039181	0.00108067
