Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
0	0	-7050.277	-7059.735	9.458174	0.030241	0.030241	0.396406	0.396406	0.141761	1.85824	1.907545	0.276203	3.62053	0.213323	0.213323	0.002107667	0.00210767	0.00210767	0.277183	0.152507	0.212308	0.358002	1.29246	1.29246	2.97401	2.97401	0.60587	1.39413	0.6177707	0.659232	1.51692	2.13323	2.13323	3.97172e-05	0.000256855
1	1	-6412.504	-6425.109	12.60464	0.16632	0.16632	0.260326	0.260326	0.779663	1.22034	0.3321177	0.799307	1.25108	0.213323	0.213323	9.356113e-05	9.35611e-05	9.35611e-05	0.0734417	0.396782	0.310078	0.219698	1.32225	1.32225	2.94422	2.94422	0.619834	1.38017	0.5934169	0.67015	1.4922	2.13323	2.13323	0.000135666	0.00142292
2	0	-3554.179	-3564.722	10.54305	0.0441243	0.0299733	0.578391	0.392896	0.141761	1.85824	1.907545	0.276203	3.62053	0.311258	0.211434	0.00161016	0.00161016	0.00161016	0.333913	0.0449402	0.515651	0.105495	0.676225	0.658272	1.64498	1.60131	0.582649	1.41735	0.6589877	0.641157	1.55968	1.1606	1.12979	3.99968e-05	0.000256855
3	1	-3354.528	-3366.889	12.36147	0.197932	0.187483	0.252493	0.239163	0.87887	1.12113	0.1804745	0.885389	1.12945	0.225213	0.213323	0.0001019927	0.000101993	0.000101993	0.0427033	0.640181	0.108858	0.208257	0.772604	1.03003	2.42758	3.23644	0.482849	1.51715	0.8487046	0.564146	1.77259	1.60009	2.13323	0.000144616	0.00193906
4	0	-1339.469	-1351.252	11.78292	0.0684191	0.0624767	0.468201	0.427537	0.255	1.745	1.425705	0.382272	2.61594	0.26831	0.245007	0.0010922	0.0010922	0.0010922	0.254256	0.0449873	0.581741	0.119016	0.260709	0.374064	1.04568	1.50034	0.399129	1.60087	1.029682	0.499319	2.00273	0.653196	0.937201	4.61873e-05	0.000256855
5	1	-1576.169	-1588.773	12.6043	0.197932	0.16455	0.252493	0.209908	0.87887	1.12113	0.1804745	0.885389	1.12945	0.225213	0.187229	0.0001224735	0.000122473	0.000122473	0.127523	0.226682	0.197735	0.44806	0.442906	1.18249	1.39165	3.71547	0.482849	1.51715	0.8487046	0.564146	1.77259	0.917275	2.44898	0.000146554	0.00246075
6	0	-737.4896	-749.1104	11.62072	0.0801622	0.196756	0.456458	1.12037	0.298767	1.70123	1.289453	0.419068	2.38625	0.26831	0.658562	0.0007797341	0.000779734	0.000779734	0.241633	0.0427538	0.602507	0.113107	0.251665	0.224235	1.05473	0.939772	0.385282	1.61472	1.06224	0.488473	2.04719	0.653196	0.582003	4.99412e-05	0.000256855
7	1	-779.9679	-791.8631	11.89519	0.220573	0.237543	0.281374	0.303022	0.87887	1.12113	0.1804745	0.885389	1.12945	0.250973	0.270282	8.461478e-05	8.46148e-05	8.46148e-05	0.317544	0.177312	0.154669	0.350475	0.26005	1.18249	0.817097	3.71547	0.482849	1.51715	0.8487046	0.564146	1.77259	0.538573	2.44898	0.00018313	0.00382426
8	0	-730.3107	-741.826	11.51529	0.0840739	0.196756	0.478732	1.12037	0.298767	1.70123	1.289453	0.419068	2.38625	0.281403	0.658562	0.000743111	0.000743111	0.000743111	0.241633	0.0427538	0.602507	0.113107	0.251665	0.224235	1.05473	0.939772	0.385282	1.61472	1.06224	0.488473	2.04719	0.653196	0.582003	5.68911e-05	0.000389284
9	1	-771.519	-782.9324	11.41341	0.230676	0.248423	0.271271	0.292142	0.919124	1.08088	0.1201699	0.922144	1.08443	0.250973	0.270282	7.216802e-05	7.2168e-05	7.2168e-05	0.256293	0.113727	0.124835	0.505145	0.26005	1.01077	0.817097	3.17591	0.482849	1.51715	0.8487046	0.564146	1.77259	0.538573	2.09334	0.000182466	0.0051555
