"i";"lambda1";"lambda2";"lambda3";"mu1";"mu2";"mu3";"q12";"q13";"q21";"q23";"q31";"q32";"p"
601;0,205162875600264;0,223440895642519;0,0787815329538012;0,0256056761073853;0,5160388570463;0,0797506339596834;0,828733346915116;1,64283117735034;4,20207103995629;2,11679715408098;1,13503434772676;0,463288192658631;-377,14671571023
602;0,156365143764948;0,197816634887644;0,149627368577501;0,0418553827428248;0,610717545838952;0,0678546566963378;2,19751192440887;2,65635495896488;3,3485223240368;3,98494022124676;1,25651825829168;0,782374799142656;-381,569810033415
603;0,219194397701734;0,0675217025619283;0,182442508804388;0,0470915491107297;0,758070617490924;0,0141034283911546;2,65284275598828;1,43143005940919;4,00013640883615;4,06519375412738;1,66022066415156;0,451460972527343;-382,583105142276
604;0,220675892701343;0,017113014461264;0,159593237222964;0,0080232797983522;0,691110463317332;0,0166931398000148;2,84307013040284;2,33833894246426;2,4557275557601;4,36645098346327;1,50222091941166;0,23181600796628;-380,506938451912
605;0,0797915225438125;0,0785666452953484;0,182863398107056;0,0465700127661419;0,888517649980784;0,00625303048701864;1,65038252531606;1,50425811212354;0,846232227596258;5,72033051392284;1,31030641534599;0,503989526666766;-377,34003067336
606;0,104927297143477;0,103767970181252;0,167898733635734;0,0595831758369479;0,915405991778926;0,00255050211639347;1,3419920388244;1,04731298458673;1,46717601267557;7,73817888745057;1,05572986803829;0,476495282742125;-377,61918982323
607;0,0167114322877614;0,18558483444723;0,174824045328762;0,0393225639057323;0,772011427927522;0,00842732044846158;0,538308939571827;1,26570698307896;1,02328604549174;7,83362152465346;0,995474826290878;1,20499862175605;-376,683712841694
608;0,0429938229689093;0,200111087797799;0,154066197565058;0,0368807851214818;0,297589868137967;0,0597170754428787;0,292708426984788;1,68654417396364;1,1956706406535;3,35505278108843;1,05753119600739;0,156937187173477;-374,566576609368
609;0,0861017031089377;0,0361098861055823;0,130082455612382;0,00156067078742036;0,0169725646512628;0,0717582254565665;1,85070610803908;1,71291444811017;2,61992653494958;1,20808880980482;1,13248283089753;0,102169348775871;-370,511843780253
610;0,093520736190657;0,0180028661793609;0,122581333475425;0,00409476579089308;0,043951367897954;0,0794912129529532;1,95560938516272;1,73314272271669;4,24773550631976;1,52502820497556;1,16126548453527;0,143432859538773;-371,632703704551
611;0,155577167048605;0,00888358567712823;0,126211869005641;0,00358358008212392;0,148026501627736;0,0794073006457575;2,22681127102009;1,82300456280503;4,03224717813511;0,269285754480277;1,54163291006308;0,0341483871409759;-375,462305210604
612;0,160745421055735;0,0595198606434143;0,0771487349842324;0,0154708653587851;0,169030781074798;0,00841446962035278;1,46455969449291;3,42328249673728;4,21802203436392;0,12638232069231;1,59361205939185;0,446571196235347;-372,130106581586
613;0,174075819808486;0,0487531867124533;0,073715529101883;0,0323052822403633;0,175815068312457;0,00119169001959569;1,80948684629261;4,80981464741773;5,21403764884458;0,819902827397482;2,57787246564653;0,282770268727368;-373,824101747879
614;0,129478046010487;0,107337527294697;0,0763923868909067;0,0112296286151482;0,106499074665215;0,0126878850285238;2,55991097389099;4,78810840134846;7,61179378384363;0,330636995554189;1,80553406148648;1,04830998857906;-375,467080386969
615;0,0929066443986473;0,173319218981906;0,0825638713998364;0,0689740562578233;0,0738304605080908;0,0318649565283314;1,48349920653405;3,6098111996107;4,19055400653477;3,85925779771169;1,34240623431055;1,13691735976738;-374,815462652872
616;0,119840816850572;0,214896203621565;0,0561739843859101;0,0321617406421793;0,0481161723250194;0,00138881190384773;0,480779630529411;2,46638743260387;4,97885712667983;2,91464591553925;1,2314479734139;0,505123668229889;-373,116301740465
617;0,163208727967062;0,0585761964189853;0,0639496115309283;0,030874638156751;0,119984173486444;0,0049993837842158;3,28519769417374;1,90474715487794;5,24099423062725;2,15753924466221;0,873491249691648;0,227742143790684;-373,711600721457
618;0,171485424643517;0,0753016243825886;0,0819076405350007;0,10141798110329;0,233906633095879;0,0296285672862846;0,637559679098973;1,55919663515638;4,66113721015132;0,68569758528218;0,630331360839079;0,59690712703577;-373,558097060363
619;0,20557291784716;0,0819031346378444;0,0651022526755496;0,0890867180184999;0,326551638596757;0,0331674777799151;0,172916302976534;2,22232196749275;3,64886258925482;0,043199620525588;1,07857472577899;0,260350911727561;-374,08858863574
620;0,184713763113701;0,252407641234421;0,0578082552520933;0,0635022853348069;0,843260315855791;0,0363849715526381;0,0257758270165861;2,21939648965569;1,6518893195476;1,597608512102;1,67594157936969;0,39795797854861;-378,277053666896
621;0,183909426228278;1,0113302802224;0,0487466511429737;0,0654551963904042;0,973004306627387;0,0548821389688814;0,354172260727282;2,61899465295632;2,81440503789625;5,3150469110663;1,49449072132856;0,700083592929221;-382,762612736354
622;0,13720011215349;1,06213720415117;0,0652693337804588;0,0334364760850833;0,981485391538676;0,0729905987148438;0,46685245319596;3,01543405407792;2,77051321013638;3,85943617325761;1,66096821911605;0,307806255586588;-382,464817776639
623;0,251898837733701;0,788357781272296;0,0222771162665663;0,0124266113980841;1,15319134989277;0,0228264095752153;1,26796246535049;2,70525336745841;2,63330332520282;5,02175464112824;1,55645724213464;0,169711949027582;-381,493065641074
624;0,223393826228074;0,815448600875705;0,0239236307485087;0,0118826796175794;0,874884390327146;0,00875274939969897;1,09461283312238;2,7324875141465;0,336621902576532;5,90525677083868;1,71754951205256;0,00750820655031925;-380,415331480554
625;0,148752502668772;0,931653858713463;0,0333218569003732;0,0257704346173846;0,795139599084542;0,035405684034667;1,24148358311841;2,26647199777777;0,465752657654301;5,97719107339684;1,96753908872302;0,150586383422531;-379,938063902627
626;0,0968467605152788;1,21334892857852;0,0259274415352597;0,01820999213102;0,894761222884668;0,00219570294257051;0,773806061587965;3,59830206636414;0,311185104636814;4,09188030584174;2,28279760045274;0,106398682504056;-382,275520212311
627;0,137448401105506;1,00672750430116;0,0256934299669709;0,0419627569508527;0,808598958974881;0,0122210155465131;1,00162313391785;3,81146262033081;1,79592615201037;3,02840778256859;2,31491113071685;0,157427595153987;-380,874130890905
628;0,132654824726069;0,761063315042697;0,0925221731065711;0,0933569173174128;0,564991639286012;0,0287636668272609;1,27848437765402;4,01246943797093;7,04258341896625;0,649301291676824;1,48981022963831;0,192158460214042;-381,566914097174
629;0,0777060705807792;0,746027778827128;0,0885833597066614;0,139245986326622;0,309504015802374;0,0424635480203371;2,0398372296994;2,90257231228173;6,43163797777612;0,606304033936431;1,84098922598239;0,0402817926955454;-379,87333037671
630;0,0687595154532496;0,823807447243063;0,0731269403685256;0,119482383589271;0,195352147480884;0,11679991557882;2,36109949439861;3,25819406856458;10,5600361219605;0,0298228962493061;2,52689754531469;0,131815370497719;-385,828784928696
631;0,0921391278338918;0,771834987760852;0,100759262025906;0,18735806275444;0,097761545507009;0,043779718866067;1,93324752052542;4,21968506216281;8,93622524471363;1,99267790977527;2,23316979915623;0,225558286195103;-382,777002826557
632;0,0956237662034085;0,370947168499821;0,0968580117597792;0,0563104277419827;0,660203809831831;0,0380188859156366;1,12995662242741;4,65456592053033;6,7057073420148;2,48356994461833;2,37361427348167;0,648753381705666;-381,023377635927
