
code	|	name	|	preferred name	|	taxid
1	|	Ablepharus alaicus	|	 	|	273660
1	|	Ablepharus anatolicus	|	 	|	2870871
1	|	Ablepharus bivittatus	|	 	|	2608366
1	|	Ablepharus budaki	|	 	|	283347
1	|	Ablepharus chernovi	|	 	|	283348
3	|	Ablepharus darvazi	|	 	|	 
1	|	Ablepharus deserti	|	 	|	2867967
1	|	Ablepharus eremchenkoi	|	 	|	2867938
1	|	Ablepharus grayanus	|	 	|	1423353
3	|	Ablepharus himalayanus	|	 	|	 
1	|	Ablepharus kitaibelii	|	 	|	245592
3	|	Ablepharus ladacensis	|	 	|	 
3	|	Ablepharus lindbergi	|	 	|	 
3	|	Ablepharus mahabharatus	|	 	|	 
3	|	Ablepharus nepalensis	|	 	|	 
1	|	Ablepharus pannonicus	|	 	|	71013
1	|	Ablepharus rueppellii	|	 	|	1884880
3	|	Ablepharus sikimmensis	|	 	|	 
3	|	Ablepharus tragbulensis	|	 	|	 
3	|	Abronia antauges	|	 	|	 
1	|	Abronia anzuetoi	|	 	|	76642
1+	|	Abronia aurita	|	 	|	76643
1+	|	Abronia aurita	|	Abronia villosa var. aurita	|	363199
1	|	Abronia bogerti	|	 	|	2753770
1	|	Abronia campbelli	|	 	|	76644
1	|	Abronia chiszari	|	 	|	290733
3	|	Abronia cuchumatanus	|	 	|	 
1	|	Abronia cuetzpali	|	 	|	2753771
1	|	Abronia deppii	|	 	|	2753772
1	|	Abronia fimbriata	|	 	|	76645
1	|	Abronia frosti	|	 	|	76646
1	|	Abronia fuscolabialis	|	 	|	2201867
3	|	Abronia gadovii	|	 	|	 
3	|	Abronia gaiophantasma	|	 	|	 
1	|	Abronia graminea	|	 	|	278977
3	|	Abronia juarezi	|	 	|	 
3	|	Abronia leurolepis	|	 	|	 
1	|	Abronia lythrochila	|	 	|	76647
1	|	Abronia martindelcampoi	|	 	|	2201892
1	|	Abronia matudai	|	 	|	76648
3	|	Abronia meledona	|	 	|	 
